baseline,,sample_5_in_1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
454.95224,-5.523714208E-5,454.95224,0.09277322888,
454.0340576,-0.000984775601,454.0340576,0.09592770785,
452.962677,-0.0004062196531,452.962677,0.1021296009,
452.0441589,-0.0001014611407,452.0441589,0.1068704128,
450.9723816,-0.0002496243105,450.9723816,0.1128986031,
450.0535583,8.413021533E-6,450.0535583,0.1174335256,
448.9813538,-6.263952673E-5,448.9813538,0.1248000115,
448.0621948,-0.0003907540522,448.0621948,0.1323153377,
446.989624,-0.0001040491261,446.989624,0.1402287632,
446.0700989,7.494634337E-5,446.0700989,0.1472543925,
444.9971313,5.646096542E-5,444.9971313,0.1565264612,
443.9239502,-0.0003086581128,443.9239502,0.1675940305,
443.0039368,-0.0001617571688,443.0039368,0.1781613678,
441.9303589,-2.578165913E-5,441.9303589,0.1908823103,
441.0100098,-0.0004436141753,441.0100098,0.2023530304,
439.9360657,1.931136103E-5,439.9360657,0.2203625292,
439.0153809,-0.0002266501542,439.0153809,0.2345906496,
437.94104,-0.0005111540086,437.94104,0.2541970015,
437.0200195,-0.0008557747351,437.0200195,0.2763860822,
435.945282,-0.0001665183954,435.945282,0.30058375,
435.0239563,-0.0003606488463,435.0239563,0.3224651217,
433.9488525,-0.0007448767428,433.9488525,0.3535173535,
433.0271606,-8.153314411E-5,433.0271606,0.3804722428,
431.9516907,-9.183370275E-5,431.9516907,0.4152542353,
431.0296936,-3.230448783E-5,431.0296936,0.449619323,
429.9538269,0.0002857974614,429.9538269,0.4841513336,
429.0315247,8.853091458E-6,429.0315247,0.5140289068,
427.9552917,-0.0002642153413,427.9552917,0.5493836999,
427.0326538,0.0001310545485,427.0326538,0.5807147622,
425.9560242,0.0001133176629,425.9560242,0.6143866777,
425.0330811,-0.0002563507296,425.0330811,0.6405975819,
423.9560852,-5.850189609E-6,423.9560852,0.6723178029,
423.0328064,0.0001892935688,423.0328064,0.6915733814,
421.9554443,-0.0001353107655,421.9554443,0.7077744007,
421.0318604,-0.0002037265513,421.0318604,0.718423903,
419.9541321,0.0002614493133,419.9541321,0.7219824195,
419.0302124,-0.0004986397689,419.0302124,0.7211007476,
417.9521484,0.0002292548597,417.9521484,0.7113392949,
417.0278931,-0.0007216186495,417.0278931,0.7002568245,
415.9494629,0.000219905196,415.9494629,0.6826015115,
415.0249023,0.0001822754566,415.0249023,0.6608906984,
413.946106,-0.0004811088729,413.946106,0.6353672743,
413.0212402,-0.0003823227307,413.0212402,0.6156054139,
411.9420776,-0.0001248042099,411.9420776,0.587400198,
411.0169067,9.552027223E-6,411.0169067,0.5630505085,
409.9373779,-0.001232698909,409.9373779,0.5310043097,
409.0119019,0.0004537850327,409.0119019,0.511929214,
407.9320068,-0.0004010990087,407.9320068,0.4829153419,
407.0062256,-0.0003855814866,407.0062256,0.4624723792,
405.9259644,-0.0001299798751,405.9259644,0.439620018,
404.9998779,-0.0002136102412,404.9998779,0.4160622954,
404.0736694,0.0004117043281,404.0736694,0.4000311792,
402.9928894,-0.0002026915899,402.9928894,0.3803134561,
402.0663452,2.290968587E-5,402.0663452,0.3662210107,
400.9852295,0.0003593423171,400.9852295,0.3490623534,
400.0584106,-0.0001549775188,400.0584106,0.3338547945,
398.9769287,0.0001917538029,398.9769287,0.3197103441,
398.0498047,-0.0003330246836,398.0498047,0.3063845038,
396.9679871,0.0003896809358,396.9679871,0.2936225832,
396.0405579,-0.000175833673,396.0405579,0.2847183049,
394.958374,-2.081181992E-5,394.958374,0.2727809846,
394.0306702,-0.000108500426,394.0306702,0.2608774602,
392.9481506,-0.0003436814004,392.9481506,0.2518160343,
392.0201111,0.0002934130025,392.0201111,0.2424423695,
390.9372559,-0.0003973748535,390.9372559,0.2334314734,
390.0089417,0.0002696860756,390.0089417,0.2257448733,
388.9257507,0.0004910236457,388.9257507,0.2167284191,
387.9971619,-0.0002842384274,387.9971619,0.2121149302,
387.0684204,-0.0006223185337,387.0684204,0.2047197074,
385.9847107,-0.0002003629343,385.9847107,0.2001177818,
385.0556946,6.8655012E-5,385.0556946,0.194736883,
383.9716492,-7.248065117E-7,383.9716492,0.1897767633,
383.0423279,-0.0002247355878,383.0423279,0.1865510643,
381.9579468,0.0004451301647,381.9579468,0.1837618798,
381.0283508,0.0001891640713,381.0283508,0.1820950061,
379.943634,-1.278748005E-5,379.943634,0.1800732166,
379.0137634,-0.0001328782382,379.0137634,0.1776130199,
377.9287109,-0.0005465229624,377.9287109,0.1772963405,
376.9985352,-5.073353532E-5,376.9985352,0.1764817685,
376.0682373,-0.0007065261016,376.0682373,0.1765047014,
