blank,,bm3_workingStock_2in100,,bm3_workingStock_1in100,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
704.9738159,-0.0001012023422,704.9738159,0.01877423562,704.9738159,0.01141152717,
703.9684448,-0.0005726341042,703.9684448,0.01823643781,703.9684448,0.01027079951,
702.9627075,-0.0003893057292,702.9627075,0.01891227067,702.9627075,0.01138476655,
701.956665,0.0002852016769,701.956665,0.01921980269,701.956665,0.01089757588,
700.9503174,0.0003350936749,700.9503174,0.02038740553,700.9503174,0.01100349799,
699.9436035,0.0002377241326,699.9436035,0.01922102086,699.9436035,0.01062617078,
698.9365845,-0.0006676034536,698.9365845,0.01913084835,698.9365845,0.01028023567,
697.9292603,-3.934649158E-6,697.9292603,0.02014240809,697.9292603,0.0110984249,
697.0655518,0.000260283734,697.0655518,0.02001401037,697.0655518,0.01099810842,
696.0575562,0.0003025311162,696.0575562,0.0194082167,696.0575562,0.01167507377,
695.0492554,5.573606541E-5,695.0492554,0.01945634931,695.0492554,0.01101871114,
694.0406494,0.0001670483907,694.0406494,0.01976283081,694.0406494,0.01049633976,
693.0316772,0.0005806737463,693.0316772,0.02014061809,693.0316772,0.01153410971,
692.0223999,5.982659422E-5,692.0223999,0.01992212795,692.0223999,0.01239658892,
691.0128174,-0.0004430969711,691.0128174,0.01936769672,691.0128174,0.01122025494,
690.0028687,0.000130536675,690.0028687,0.02030325495,690.0028687,0.01198675577,
688.9926147,-0.0005904715508,688.9926147,0.01964537986,688.9926147,0.01105410606,
687.9819946,0.0001401433547,687.9819946,0.02085060067,687.9819946,0.01222911105,
686.9711304,0.0002943714208,686.9711304,0.02027705312,686.9711304,0.01093871985,
685.9598389,0.0005007938016,685.9598389,0.02050939947,685.9598389,0.01195277553,
684.9483032,0.0002963141887,684.9483032,0.0210121721,684.9483032,0.01043972559,
683.9364624,-8.076346603E-6,683.9364624,0.02026913315,683.9364624,0.01159562636,
683.0688477,0.000111971247,683.0688477,0.02111977711,683.0688477,0.0119284559,
682.0563965,-0.0003807192261,682.0563965,0.0211145319,682.0563965,0.01181512605,
681.0435791,-0.0005567090702,681.0435791,0.02111330815,681.0435791,0.0120803006,
680.0304565,-3.639414717E-5,680.0304565,0.02158922143,680.0304565,0.01230257563,
679.0170288,0.001474869554,679.0170288,0.02118019201,679.0170288,0.01235274877,
678.0032349,0.0008819497307,678.0032349,0.02224383876,678.0032349,0.01200809795,
676.9891357,-0.0005152908852,676.9891357,0.02229487523,676.9891357,0.01276570093,
675.9747314,-4.141735189E-6,675.9747314,0.02236583829,675.9747314,0.01302508265,
674.960022,-4.845582953E-5,674.960022,0.02291366272,674.960022,0.01247660909,
673.9450073,0.000461844058,673.9450073,0.02276600339,673.9450073,0.01232553087,
672.9296265,0.0007187747979,672.9296265,0.02263110131,672.9296265,0.01276860666,
672.059082,0.0006794943474,672.059082,0.02275896445,672.059082,0.01312776282,
671.0431519,-0.000713969057,671.0431519,0.02261817455,671.0431519,0.01260679401,
670.0268555,-0.0002519526752,670.0268555,0.02277421393,670.0268555,0.01286762673,
669.0103149,-0.00056901481,669.0103149,0.02361261658,669.0103149,0.01255158242,
667.9934082,0.0002724835067,667.9934082,0.02359220013,667.9934082,0.01272006426,
666.9761963,-0.0006993414136,666.9761963,0.02392740734,666.9761963,0.01270348486,
665.9586792,-0.0002719763434,665.9586792,0.02436545491,665.9586792,0.01252011582,
664.9407959,-0.000941383536,664.9407959,0.02332673222,664.9407959,0.01251587924,
664.0681152,-0.001645452692,664.0681152,0.02384954318,664.0681152,0.01294341404,
663.0497437,-0.0003648388665,663.0497437,0.02482148632,663.0497437,0.01381746493,
662.0310059,-0.0002536084212,662.0310059,0.02474685758,662.0310059,0.0136021059,
661.0119629,1.320186357E-6,661.0119629,0.02565015107,661.0119629,0.01358263474,
659.9925537,-8.567410259E-5,659.9925537,0.02634164318,659.9925537,0.01460575406,
658.9729004,-0.0003064335033,658.9729004,0.02502035163,658.9729004,0.01371045318,
657.9529419,-0.0003442504385,657.9529419,0.02633025683,657.9529419,0.01455620304,
656.9326172,-0.0001180239778,656.9326172,0.02611544915,656.9326172,0.01451388467,
656.0578613,8.54579921E-5,656.0578613,0.0268417187,656.0578613,0.01429462153,
655.0369873,6.282979302E-5,655.0369873,0.02630305663,655.0369873,0.0138787711,
654.0158081,-0.0004381319159,654.0158081,0.02762644179,654.0158081,0.0137765808,
652.9943237,0.001036233967,652.9943237,0.02680842951,652.9943237,0.01444440614,
651.9725342,0.0001434060541,651.9725342,0.0271105282,651.9725342,0.014736793,
650.9504395,-0.00116857572,650.9504395,0.02651630528,650.9504395,0.01400229242,
649.9280396,-0.0003641663934,649.9280396,0.02749917842,649.9280396,0.01384934597,
649.0514526,-2.629934716E-5,649.0514526,0.0282996241,649.0514526,0.01574449241,
648.0284424,-0.0003772017953,648.0284424,0.02712899074,648.0284424,0.01507013664,
647.005188,0.0001248400804,647.005188,0.02716125734,647.005188,0.01507528219,
645.9815674,0.0008014697232,645.9815674,0.02749250457,645.9815674,0.01555100735,
644.9577026,0.0002917033853,644.9577026,0.02785759233,644.9577026,0.01454380993,
643.9334717,0.0003394199884,643.9334717,0.02834311314,643.9334717,0.01542846672,
643.0553589,0.0003951996332,643.0553589,0.02780622989,643.0553589,0.01573515125,
642.0306396,-0.000639068312,642.0306396,0.0269651264,642.0306396,0.01398095861,
641.0055542,-0.0007626553997,641.0055542,0.02753356844,641.0055542,0.0148804877,
639.9801636,-0.0001418837055,639.9801636,0.02804556675,639.9801636,0.01531325374,
638.9545288,-0.0001236655517,638.9545288,0.02832675539,638.9545288,0.01581895724,
637.9285278,-0.0006510098465,637.9285278,0.02831462584,637.9285278,0.0150346281,
637.0488892,-0.0006170970155,637.0488892,0.02896928415,637.0488892,0.01533765625,
636.0223999,-0.0003559414763,636.0223999,0.02915051579,636.0223999,0.01476041321,
634.9955444,0.0001450115087,634.9955444,0.02920513786,634.9955444,0.01582215168,
633.9684448,-0.0002130927751,633.9684448,0.029063683,633.9684448,0.01588312536,
632.940979,-0.0003886333143,632.940979,0.03006449342,632.940979,0.01570270211,
632.0601196,-0.0005101715215,632.0601196,0.03011384793,632.0601196,0.0151585592,
631.0321045,-0.000554227212,631.0321045,0.03006321751,631.0321045,0.01671531051,
630.0038452,-0.0001572029141,630.0038452,0.02986421809,630.0038452,0.01611342654,
628.9752808,-0.001234712312,628.9752808,0.02971143275,628.9752808,0.01493755076,
627.9464111,-0.0004705589672,627.9464111,0.03007775359,627.9464111,0.01546279993,
627.06427,-0.0003582175705,627.06427,0.0310318321,627.06427,0.01653268747,
626.0348511,-1.998350854E-5,626.0348511,0.02997273393,626.0348511,0.01579683647,
625.005127,-0.0004417005694,625.005127,0.02934093401,625.005127,0.01583756134,
623.9750977,0.0004408546374,623.9750977,0.03015782498,623.9750977,0.01588833332,
622.9448242,4.633835488E-5,622.9448242,0.03025137261,622.9448242,0.0164298173,
622.0614624,-0.001469851937,622.0614624,0.02922388166,622.0614624,0.01490901876,
621.0306396,-0.0005121365539,621.0306396,0.03004499152,621.0306396,0.01576660946,
619.9994507,0.0005208790535,619.9994507,0.03030893765,619.9994507,0.01651238464,
618.9680176,-0.0004133574548,618.9680176,0.02996951714,618.9680176,0.01552417874,
617.9362793,-0.0006908643991,617.9362793,0.02963923104,617.9362793,0.01626053452,
617.0517578,0.0004779884766,617.0517578,0.03206910565,617.0517578,0.01725618355,
616.0194702,0.0006348252646,616.0194702,0.03087638319,616.0194702,0.01767725125,
614.9868774,-4.04837665E-5,614.9868774,0.03199926764,614.9868774,0.01652940549,
613.9540405,0.0002831294551,613.9540405,0.03151679784,613.9540405,0.017039489,
613.0685425,-0.000245847099,613.0685425,0.03124190867,613.0685425,0.01648264751,
612.0351563,-0.0003387669276,612.0351563,0.03292239457,612.0351563,0.01740044542,
611.0014648,-0.0002126788022,611.0014648,0.03449462727,611.0014648,0.01778543368,
609.9674683,0.00061774184,609.9674683,0.03405475989,609.9674683,0.01849197783,
608.9332275,-0.0003544930369,608.9332275,0.03432331234,608.9332275,0.01797689497,
608.0465088,2.81648463E-5,608.0465088,0.03458190709,608.0465088,0.01941298135,
607.0117188,-0.0003468887298,607.0117188,0.03503401205,607.0117188,0.01831111498,
605.9766235,0.001172247692,605.9766235,0.03641130775,605.9766235,0.02004705556,
604.9412842,-0.0001153325575,604.9412842,0.03723631799,604.9412842,0.01928737015,
604.0535889,0.0001279990829,604.0535889,0.0377310887,604.0535889,0.01930853352,
603.0177002,0.0002086392342,603.0177002,0.03873274103,603.0177002,0.02153353579,
601.9815674,-0.0001149702512,601.9815674,0.04023975879,601.9815674,0.02057087049,
600.9450684,0.00013159831,600.9450684,0.0410329327,600.9450684,0.02209994756,
600.0564575,-0.0003583727521,600.0564575,0.0423101522,600.0564575,0.02212985605,
599.0194702,-0.0002525218588,599.0194702,0.04296643287,599.0194702,0.02278610691,
597.9822388,-0.0003692357568,597.9822388,0.04397623613,597.9822388,0.02354292385,
596.9446411,-0.0002843936672,596.9446411,0.04640311748,596.9446411,0.02486413531,
596.0551147,0.0003047329665,596.0551147,0.04743388668,596.0551147,0.02448405325,
595.0170288,0.0002527205797,595.0170288,0.04901162162,595.0170288,0.02617758326,
593.9786987,-0.0003173495352,593.9786987,0.05141434446,593.9786987,0.02650048584,
592.9400635,3.070184539E-5,592.9400635,0.05341659486,592.9400635,0.02779096924,
592.0495605,-5.094059816E-5,592.0495605,0.05478478596,592.0495605,0.02834761702,
591.010437,-0.0001646035671,591.010437,0.0586258918,591.010437,0.03014212102,
589.9710083,-7.785801427E-5,589.9710083,0.06027730554,589.9710083,0.03160651773,
588.9312744,-0.0004993120674,588.9312744,0.06478268653,588.9312744,0.03399118036,
588.039917,-0.0001128999211,588.039917,0.06862550974,588.039917,0.03542400524,
586.9996948,-0.0002328077535,586.9996948,0.07259076834,586.9996948,0.03666219488,
585.9591675,0.0001090971709,585.9591675,0.0771619156,585.9591675,0.03921581805,
585.0670776,-0.0004971401067,585.0670776,0.08100547642,585.0670776,0.04117187858,
584.026062,-0.0002510730701,584.026062,0.08645310998,584.026062,0.04335895553,
582.9848022,-0.000907028385,582.9848022,0.09129937738,582.9848022,0.04591819644,
581.9432373,-3.27186317E-5,581.9432373,0.09728907794,581.9432373,0.04874423146,
581.0502319,-0.0007009437541,581.0502319,0.1031009704,581.0502319,0.05212612823,
580.0081787,-0.001042470103,580.0081787,0.1094696522,580.0081787,0.0548299253,
578.9658203,-0.0004121161182,578.9658203,0.1150906011,578.9658203,0.05748236552,
578.0721436,4.481092401E-5,578.0721436,0.1196464747,578.0721436,0.06028711796,
577.0292969,5.431215686E-5,577.0292969,0.1255971491,577.0292969,0.06311537325,
575.9862061,1.247721593E-5,575.9862061,0.1301373988,575.9862061,0.06492520869,
574.9428101,-0.0004410282127,574.9428101,0.1337521374,574.9428101,0.06671077013,
574.0482178,-0.0001272367808,574.0482178,0.1371848285,574.0482178,0.06854996085,
573.0043335,-0.0004284602182,573.0043335,0.1389898509,573.0043335,0.06945899874,
571.960144,0.000856582541,571.960144,0.1431365609,571.960144,0.07169824094,
571.0649414,0.0001153631965,571.0649414,0.143158704,571.0649414,0.07161721587,
570.0202637,-0.0001744363835,570.0202637,0.1423946172,570.0202637,0.07129689306,
568.9753418,-0.0003494234988,568.9753418,0.1422191411,568.9753418,0.07114821672,
567.9301147,0.0002443805279,567.9301147,0.1426163316,567.9301147,0.0714468807,
567.0339966,0.0001599529642,567.0339966,0.1403819621,567.0339966,0.07034321874,
565.9882813,-0.0002407245483,565.9882813,0.1390918642,565.9882813,0.06957541406,
564.9423218,-0.0009229406132,564.9423218,0.1367611736,564.9423218,0.06765849143,
