baseline,,bm3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
760.0256958,0.0004248411569,760.0256958,0.0134155266,
759.0394287,0.0008160447469,759.0394287,0.01348377205,
758.0527954,0.001115745283,758.0527954,0.0148332091,
757.0657959,-1.744679139E-5,757.0657959,0.01257239189,
755.9373779,0.000366000575,755.9373779,0.01309323963,
754.949646,-0.001097833039,754.949646,0.0111261243,
753.9615479,-0.0005623449688,753.9615479,0.01320901234,
752.9730835,0.0008890310419,752.9730835,0.01392685529,
751.9842529,5.998193228E-5,751.9842529,0.01204583421,
750.9950562,9.576275625E-5,750.9950562,0.01379758306,
750.0055542,-0.0002963449806,750.0055542,0.01273405924,
749.015625,-0.000926608569,749.015625,0.01253471617,
748.0253906,0.0002884395653,748.0253906,0.01263458934,
747.03479,-0.000440355856,747.03479,0.01245332602,
746.0438843,0.0002793217427,746.0438843,0.01312530879,
745.0525513,6.3114574E-5,745.0525513,0.01193430927,
744.0609131,0.0009471642552,744.0609131,0.01195905451,
743.0689087,-0.0005075859372,743.0689087,0.01218869537,
741.9347534,-4.089790309E-5,741.9347534,0.01392992865,
740.9420166,-0.0003097963054,740.9420166,0.01211312041,
739.9489136,-0.000326868525,739.9489136,0.01283120457,
738.9554443,-0.0008323676302,738.9554443,0.01153341774,
737.9616699,5.552895163E-5,737.9616699,0.012720678,
736.9675293,-0.0001214399817,736.9675293,0.01232933998,
735.9730225,-0.000910128234,735.9730225,0.01480709482,
734.9782104,-0.0004710244248,734.9782104,0.01316050068,
733.9830322,-0.0007299400168,733.9830322,0.01322969422,
732.9874878,3.528400703E-5,732.9874878,0.01426056772,
731.9915771,-0.001048771082,731.9915771,0.01426367089,
730.9953613,-0.0006643985398,730.9953613,0.0132354321,
729.9987793,0.0007465714007,729.9987793,0.01474386267,
729.0018921,0.0002231943945,729.0018921,0.01315377746,
728.0046387,-0.000136759918,728.0046387,0.01400956418,
727.007019,-0.0002712520072,727.007019,0.01373369712,
726.0090942,-0.0003650975123,726.0090942,0.01385036204,
725.0108032,-0.0007177938824,725.0108032,0.01473781001,
724.012146,0.0001066115001,724.012146,0.01623986848,
723.0131836,-0.0003061748284,723.0131836,0.01479855087,
722.013855,0.0003845250467,722.013855,0.0146884853,
721.0142212,0.0007005212246,721.0142212,0.0140969418,
720.0142212,-0.0003615799651,720.0142212,0.01504722331,
719.013916,0.00010632669,719.013916,0.01596480981,
718.0131836,-0.0002522631548,718.0131836,0.01475687791,
717.012207,-0.0001592730405,717.012207,0.01547100861,
716.0108643,-0.0002193540568,716.0108643,0.01494952664,
715.0091553,-0.0002231832332,715.0091553,0.0146026751,
714.0071411,-0.0004308393691,714.0071411,0.01461258065,
713.0047607,-0.0007630171604,713.0047607,0.01482884306,
712.0020752,-9.493935067E-5,712.0020752,0.01530370768,
710.9990234,-0.001076607965,710.9990234,0.01428143308,
709.9956665,0.001278472366,709.9956665,0.01587007567,
708.9919434,0.000586272683,708.9919434,0.0152739184,
707.987915,0.0006262704846,707.987915,0.01555428002,
706.9835815,5.136079926E-5,706.9835815,0.01552195195,
705.9788208,-0.0004502341617,705.9788208,0.01578078419,
704.9738159,0.0002403659455,704.9738159,0.01636758447,
