baseline,,bm3,,bm4,,bm53_palmOH_ul_5,,bm53_palmOH_ul_10,,bm53_palmOH_ul_20,,bm53_palmOH_ul_30,,bm53_palmOH_ul_40,,bm53_palmOH_ul_50,,bm53_palmOH_ul_50,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
771.9519043,-0.001063438598,771.9519043,-0.01674300432,771.9519043,-0.01281353738,771.9519043,-0.01643519476,771.9519043,-0.01676557027,771.9519043,-0.01553927641,771.9519043,-0.01584043354,771.9519043,-0.01757708564,771.9519043,0.008458538912,771.9519043,0.02689566649,
770.9696045,0.001179048209,770.9696045,-0.01601550914,770.9696045,-0.01377006527,770.9696045,-0.01448370237,770.9696045,-0.01494228654,770.9696045,-0.01498065144,770.9696045,-0.014002176,770.9696045,-0.01527429931,770.9696045,0.01129857078,770.9696045,0.02681622095,
769.9869385,0.002532676328,769.9869385,-0.01539039332,769.9869385,-0.01249417569,769.9869385,-0.0153249288,769.9869385,-0.01539609022,769.9869385,-0.01406583562,769.9869385,-0.01338263694,769.9869385,-0.01366281789,769.9869385,0.01152610779,769.9869385,0.02761248313,
769.0039673,-0.001337278984,769.0039673,-0.01746818982,769.0039673,-0.01375446655,769.0039673,-0.01680930145,769.0039673,-0.01713222638,769.0039673,-0.01710838638,769.0039673,-0.01771881059,769.0039673,-0.01636071317,769.0039673,0.008982056752,769.0039673,0.02380743064,
768.0205688,0.0003540572361,768.0205688,-0.0155637525,768.0205688,-0.01401175093,768.0205688,-0.01425069664,768.0205688,-0.01408879086,768.0205688,-0.01401566062,768.0205688,-0.01477683615,768.0205688,-0.01388395485,768.0205688,0.01178227644,768.0205688,0.02481956594,
767.0368652,6.466796185E-5,767.0368652,-0.0163139943,767.0368652,-0.01335367002,767.0368652,-0.01610776037,767.0368652,-0.01559452061,767.0368652,-0.01486304589,767.0368652,-0.01469251048,767.0368652,-0.01488585956,767.0368652,0.01064680982,767.0368652,0.02354746126,
766.0527344,-0.001316426904,766.0527344,-0.01775424555,766.0527344,-0.01547912974,766.0527344,-0.01684048027,766.0527344,-0.01723155379,766.0527344,-0.01795507967,766.0527344,-0.0170840472,766.0527344,-0.01689720154,766.0527344,0.008182480931,766.0527344,0.02181269042,
765.0682983,-3.339161412E-5,765.0682983,-0.01658556424,765.0682983,-0.01335522626,765.0682983,-0.01419468038,765.0682983,-0.01535316464,765.0682983,-0.01494013611,765.0682983,-0.01584986784,765.0682983,-0.01520151831,765.0682983,0.00945337303,765.0682983,0.02211484686,
763.942749,0.001322688418,763.942749,-0.01521736477,763.942749,-0.0125453826,763.942749,-0.0146119725,763.942749,-0.0150806224,763.942749,-0.01385502145,763.942749,-0.01382498257,763.942749,-0.01428185776,763.942749,0.01081314776,763.942749,0.02253776416,
762.9575195,0.000206360186,762.9575195,-0.01639566198,762.9575195,-0.01408192422,762.9575195,-0.0155067062,762.9575195,-0.01633134671,762.9575195,-0.01478929538,762.9575195,-0.01607234031,762.9575195,-0.01609947905,762.9575195,0.009930047207,762.9575195,0.0212909095,
761.9719238,-0.0006622790825,761.9719238,-0.01717497595,761.9719238,-0.01401465852,761.9719238,-0.01559462026,761.9719238,-0.01614382677,761.9719238,-0.01580294408,761.9719238,-0.01571562141,761.9719238,-0.0158646442,761.9719238,0.009011286311,761.9719238,0.0195179414,
760.9859619,-0.0002910678159,760.9859619,-0.01444193907,760.9859619,-0.01204422768,760.9859619,-0.01462198421,760.9859619,-0.01363356877,760.9859619,-0.01492377836,760.9859619,-0.01459515281,760.9859619,-0.01412738115,760.9859619,0.01079555321,760.9859619,0.02154787257,
759.9996338,-0.0009813148063,759.9996338,-0.0157457795,759.9996338,-0.01288179494,759.9996338,-0.01545584854,759.9996338,-0.01615948975,759.9996338,-0.01619041525,759.9996338,-0.01636440307,759.9996338,-0.01642991044,759.9996338,0.009037028998,759.9996338,0.02160802111,
759.0129395,-0.002454495756,759.0129395,-0.01676028967,759.0129395,-0.01394873485,759.0129395,-0.01601985097,759.0129395,-0.01633588411,759.0129395,-0.01595038921,759.0129395,-0.0164223332,759.0129395,-0.01671092398,759.0129395,0.008848886006,759.0129395,0.02092689648,
758.0259399,0.0006773165078,758.0259399,-0.01616173424,758.0259399,-0.01326178666,758.0259399,-0.01432659198,758.0259399,-0.0151099246,758.0259399,-0.01448255032,758.0259399,-0.01374152582,758.0259399,-0.01357802469,758.0259399,0.009048842825,758.0259399,0.02230817266,
757.0385742,-0.0007550065056,757.0385742,-0.01637537219,757.0385742,-0.01410277374,757.0385742,-0.01537015568,757.0385742,-0.0160097722,757.0385742,-0.015487873,757.0385742,-0.01584986784,757.0385742,-0.01589049958,757.0385742,0.00843736995,757.0385742,0.02217256837,
756.0507813,-3.121735426E-5,756.0507813,-0.01623645052,756.0507813,-0.01445360668,756.0507813,-0.01460982021,756.0507813,-0.01532477885,756.0507813,-0.01542322151,756.0507813,-0.01602189615,756.0507813,-0.01546099409,756.0507813,0.007453811821,756.0507813,0.02421015687,
755.0626831,-0.0002129375353,755.0626831,-0.01555181481,755.0626831,-0.01441765018,755.0626831,-0.01363552548,755.0626831,-0.01499315538,755.0626831,-0.01594574749,755.0626831,-0.01464481,755.0626831,-0.01497865003,755.0626831,0.007345565595,755.0626831,0.0228774529,
753.9329834,-0.0002090047783,753.9329834,-0.01576799713,753.9329834,-0.01461312361,753.9329834,-0.0152645018,753.9329834,-0.01575691439,753.9329834,-0.01449832413,753.9329834,-0.01658960059,753.9329834,-0.01509892382,753.9329834,0.006436086725,753.9329834,0.02447328903,
752.9441528,0.00033988629,752.9441528,-0.01593581587,752.9441528,-0.01444018632,752.9441528,-0.01431331784,752.9441528,-0.01604509726,752.9441528,-0.01564441249,752.9441528,-0.01512092445,752.9441528,-0.01502076257,752.9441528,0.006152357906,752.9441528,0.02439302765,
751.954895,-0.0005919708638,751.954895,-0.01610077731,751.954895,-0.01471092831,751.954895,-0.01521831471,751.954895,-0.01599525101,751.954895,-0.01553752832,751.954895,-0.01543161646,751.954895,-0.01625435427,751.954895,0.00496852072,751.954895,0.02353177406,
750.965332,-0.00108239206,750.965332,-0.01592079364,750.965332,-0.01456361264,750.965332,-0.01318138465,750.965332,-0.0154378619,750.965332,-0.01517712139,750.965332,-0.01495884359,750.965332,-0.01700021885,750.965332,0.005722771399,750.965332,0.02397035249,
749.9754028,-0.001072734594,749.9754028,-0.01669348776,749.9754028,-0.01569559984,749.9754028,-0.01513102464,749.9754028,-0.01580434293,749.9754028,-0.01560425945,749.9754028,-0.01633852534,749.9754028,-0.01657933556,749.9754028,0.003240557853,749.9754028,0.02258389816,
748.9851074,-0.001118127489,748.9851074,-0.01616527699,748.9851074,-0.0150270639,748.9851074,-0.0156639386,748.9851074,-0.01596406288,748.9851074,-0.01622532867,748.9851074,-0.01640837453,748.9851074,-0.0180074349,748.9851074,0.003998525441,748.9851074,0.0237751659,
747.9945068,0.001350861276,747.9945068,-0.01501711179,747.9945068,-0.01297285408,747.9945068,-0.01426988468,747.9945068,-0.01369000878,747.9945068,-0.01386550162,747.9945068,-0.01324350759,747.9945068,-0.01421422139,747.9945068,0.004784801509,747.9945068,0.02527061477,
747.003479,-0.001037305221,747.003479,-0.01710246317,747.003479,-0.01538544614,747.003479,-0.01519526914,747.003479,-0.0159959998,747.003479,-0.01532377861,747.003479,-0.01628213003,747.003479,-0.0157041382,747.003479,0.00255306391,747.003479,0.02523936518,
746.012146,-0.000171383057,746.012146,-0.01532777678,746.012146,-0.01431817655,746.012146,-0.01511652488,746.012146,-0.01479199715,746.012146,-0.01493308228,746.012146,-0.01494183671,746.012146,-0.01575072296,746.012146,0.004118222278,746.012146,0.02682640962,
745.0204468,-0.0002084355656,745.0204468,-0.01556110475,745.0204468,-0.01402799226,745.0204468,-0.01433626004,745.0204468,-0.0139204571,745.0204468,-0.0149122728,745.0204468,-0.01465371996,745.0204468,-0.01541222911,745.0204468,0.003612224245,745.0204468,0.02756774239,
744.0283813,-0.001156235347,744.0283813,-0.01746624894,744.0283813,-0.01521881483,744.0283813,-0.01634515822,744.0283813,-0.01522731222,744.0283813,-0.01696481928,744.0283813,-0.01696979813,744.0283813,-0.01781179383,744.0283813,0.002556735417,744.0283813,0.02457090653,
743.0360107,-0.0003279549128,743.0360107,-0.0147166336,743.0360107,-0.01284555625,743.0360107,-0.01386620384,743.0360107,-0.01282454561,743.0360107,-0.01375862956,743.0360107,-0.01420139428,743.0360107,-0.01472654287,743.0360107,0.005478251725,743.0360107,0.027317008,
742.0432129,0.0003635911562,742.0432129,-0.01522481348,742.0432129,-0.01372442115,742.0432129,-0.01403255388,742.0432129,-0.01382433064,742.0432129,-0.01398849022,742.0432129,-0.01575631462,742.0432129,-0.015649857,742.0432129,0.004681980703,742.0432129,0.02691667899,
741.0501099,-0.00165251852,741.0501099,-0.01646081731,741.0501099,-0.0155380778,741.0501099,-0.01625365578,741.0501099,-0.01587577537,741.0501099,-0.01582675613,741.0501099,-0.01630437002,741.0501099,-0.01655571349,741.0501099,0.003586749313,741.0501099,0.02548725531,
740.0567017,-0.000625678862,740.0567017,-0.01441554632,740.0567017,-0.01430765726,740.0567017,-0.01469721459,740.0567017,-0.01385311596,740.0567017,-0.01424438413,740.0567017,-0.01539504062,740.0567017,-0.01528624445,740.0567017,0.00643550884,740.0567017,0.02663218975,
739.0628662,-0.0008521061973,739.0628662,-0.01594679616,739.0628662,-0.01430244744,739.0628662,-0.01513592433,739.0628662,-0.01400864311,739.0628662,-0.01507937256,739.0628662,-0.01527324971,739.0628662,-0.01631494239,739.0628662,0.006114840973,739.0628662,0.02530858852,
738.0687256,-0.0009282100946,738.0687256,-0.0162463747,738.0687256,-0.01555516105,738.0687256,-0.01595577784,738.0687256,-0.01598651893,738.0687256,-0.01647018827,738.0687256,-0.01619964279,738.0687256,-0.01692822389,738.0687256,0.004834820516,738.0687256,0.02291944809,
736.9321289,-0.0007422925555,736.9321289,-0.01676009037,736.9321289,-0.01513307448,736.9321289,-0.01529953908,736.9321289,-0.01504176669,736.9321289,-0.01581826992,736.9321289,-0.015951287,736.9321289,-0.01694326103,736.9321289,0.005902164616,736.9321289,0.02274300717,
735.9372559,-0.000820534362,735.9372559,-0.01700250804,735.9372559,-0.01440247521,735.9372559,-0.01535696257,735.9372559,-0.01517887134,735.9372559,-0.01591775008,735.9372559,-0.01622283459,735.9372559,-0.01699538901,735.9372559,0.005218228791,735.9372559,0.02166643739,
734.9420166,-5.135472384E-5,734.9420166,-0.01651694067,734.9420166,-0.01545684785,734.9420166,-0.0157487765,734.9420166,-0.01528789382,734.9420166,-0.01630003192,734.9420166,-0.01594934054,734.9420166,-0.0170221217,734.9420166,0.006029894575,734.9420166,0.02214325778,
733.9464111,-0.0007245130837,733.9464111,-0.01699294895,733.9464111,-0.01582475938,733.9464111,-0.01607792638,733.9464111,-0.01508452278,733.9464111,-0.01630845852,733.9464111,-0.01652356796,733.9464111,-0.01706493273,733.9464111,0.005114755593,733.9464111,0.02241759747,
