baseline,,bm3,,bm3_lauric10mM_ul_50,,bm3_lauric10mM_ul_100,,bm3_lauric10mM_ul_150,,bm3_lauric10mM_ul_200,,bm3_lauric10mM_ul_250,,bm3_lauric10mM_ul_300,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
698.0219727,0.0004708361521,698.0219727,0.008285500109,698.0219727,0.008116936311,698.0219727,0.007147022523,698.0219727,0.005745959003,698.0219727,0.007381741423,698.0219727,0.007049245294,698.0219727,0.007101341151,
697.013916,-0.0001982930116,697.013916,0.007711988874,697.013916,0.007633130997,697.013916,0.007027014159,697.013916,0.005790002644,697.013916,0.006836005952,697.013916,0.005933759268,697.013916,0.006774896756,
696.0054932,0.0002407803549,696.0054932,0.007684901822,696.0054932,0.007722765673,696.0054932,0.006423528772,696.0054932,0.004424735438,696.0054932,0.006512572523,696.0054932,0.005768544041,696.0054932,0.006503980141,
694.9968262,-0.0002068831527,694.9968262,0.00796032697,694.9968262,0.007679316215,694.9968262,0.006177012343,694.9968262,0.004734814167,694.9968262,0.006185467355,694.9968262,0.006603973918,694.9968262,0.006688086316,
693.987793,0.0007846908993,693.987793,0.008192716166,693.987793,0.007760237902,693.987793,0.008223791607,693.987793,0.006167139858,693.987793,0.007274698,693.987793,0.007819877937,693.987793,0.008095784113,
692.9783936,0.0004052526492,692.9783936,0.008619472384,692.9783936,0.008287611417,692.9783936,0.008187414147,692.9783936,0.005946932826,692.9783936,0.007009046152,692.9783936,0.006486164872,692.9783936,0.007666195277,
691.968689,-0.0007879267214,691.968689,0.007012729067,691.968689,0.007278541103,691.968689,0.00551705109,691.968689,0.005109412596,691.968689,0.005970866885,691.968689,0.005602395628,691.968689,0.006280082744,
690.9586792,0.0004052267468,690.9586792,0.007200235967,690.9586792,0.007906757295,690.9586792,0.007801692467,690.9586792,0.005336087197,690.9586792,0.007137417328,690.9586792,0.007001785561,690.9586792,0.006871455349,
689.9483643,0.0003002515587,689.9483643,0.008562785573,689.9483643,0.009112889878,689.9483643,0.007376738824,689.9483643,0.005874534603,689.9483643,0.007340142038,689.9483643,0.006680594292,689.9483643,0.007422791328,
688.9376831,-0.0008843989926,688.9376831,0.007776075974,688.9376831,0.006390479859,688.9376831,0.007060505915,688.9376831,0.005284071434,688.9376831,0.007179970853,688.9376831,0.006627024151,688.9376831,0.006769822445,
688.071106,0.0009523787303,688.071106,0.007525446359,688.071106,0.008718185127,688.071106,0.00666997442,688.071106,0.00585052697,688.071106,0.006558454596,688.071106,0.007526736706,688.071106,0.006323392503,
687.0598145,-0.0003197292972,687.0598145,0.007385401055,687.0598145,0.008088953793,687.0598145,0.00736017758,687.0598145,0.005801073276,687.0598145,0.00706150569,687.0598145,0.006352889817,687.0598145,0.006967930123,
686.0482178,-0.0003747188894,686.0482178,0.007520099636,686.0482178,0.008377433755,686.0482178,0.007106393576,686.0482178,0.006164855789,686.0482178,0.007049350534,686.0482178,0.00728746457,686.0482178,0.007206736598,
685.0363159,0.0002208893566,685.0363159,0.008104118519,685.0363159,0.008278138936,685.0363159,0.007742502727,685.0363159,0.006339257117,685.0363159,0.007572647184,685.0363159,0.007913057692,685.0363159,0.007440038957,
