baseline,,bm3_NotCentrifuged,,bm3_NotCentrifuged_palmOH_ul_10,,bm3_NotCentrifuged_palmOH_ul_20,,bm3_NotCentrifuged_palmOH_ul_30,,bm3_NotCentrifuged_palmOH_ul_40,,bm3_NotCentrifuged_palmOH_ul_50,,bm3_NotCentrifuged_palmOH_ul_60,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
755.0626831,0.001054709195,755.0626831,0.01695970073,755.0626831,0.009026245214,755.0626831,0.02327754162,755.0626831,0.01391974464,755.0626831,0.0100450851,755.0626831,0.04735833034,755.0626831,0.3311827779,
753.9329834,-0.0005019493983,753.9329834,0.01654758491,753.9329834,0.008670886047,753.9329834,0.02127652802,753.9329834,0.01386802737,753.9329834,0.008646089584,753.9329834,0.04554991797,753.9329834,0.3129460216,
752.9441528,-0.0009814180667,752.9441528,0.01498837769,752.9441528,0.007378660608,752.9441528,0.02135629766,752.9441528,0.01213252544,752.9441528,0.00661553815,752.9441528,0.04506046325,752.9441528,0.3260790408,
751.954895,-0.0007336613489,751.954895,0.01683627814,751.954895,0.008827487007,751.954895,0.02263505571,751.954895,0.0145612359,751.954895,0.008290117607,751.954895,0.04389970377,751.954895,0.3187808394,
750.965332,0.0005196350394,750.965332,0.01746023819,750.965332,0.009708823636,750.965332,0.02208921686,750.965332,0.01460358594,750.965332,0.01015233621,750.965332,0.04475715384,750.965332,0.3082185388,
749.9754028,0.0006606202805,749.9754028,0.01770399697,749.9754028,0.01026099268,749.9754028,0.02374079637,749.9754028,0.01598422788,749.9754028,0.009689791128,749.9754028,0.04572117701,749.9754028,0.3127273619,
748.9851074,0.0005243001506,748.9851074,0.01633336768,748.9851074,0.009289828129,748.9851074,0.02271682024,748.9851074,0.01452234294,748.9851074,0.008357325569,748.9851074,0.04274612665,748.9851074,0.3139912486,
747.9945068,-0.001748541137,747.9945068,0.01639390178,747.9945068,0.007975407876,747.9945068,0.02274999022,747.9945068,0.01446490642,747.9945068,0.009599696845,747.9945068,0.04245050997,747.9945068,0.2890377343,
747.003479,0.0005372330197,747.003479,0.01824847795,747.003479,0.01026170794,747.003479,0.02390385792,747.003479,0.01610808074,747.003479,0.01027416624,747.003479,0.04223268479,747.003479,0.3032463193,
746.012146,0.0008459743694,746.012146,0.01782556251,746.012146,0.009360285476,746.012146,0.02190633491,746.012146,0.01389360428,746.012146,0.01000921708,746.012146,0.04109145701,746.012146,0.3123624027,
