baseline,,bm3_none,,bm3_none1,,lauricacid_10mM_ul05,,lauricacid_10mM_ul5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
710.953125,0.0004755007103,710.953125,0.1440899074,710.953125,0.007313394453,710.953125,0.8457449675,710.953125,1.694880605,
709.9493408,0.0009616922471,709.9493408,0.1422407925,709.9493408,0.008415199816,709.9493408,0.8374333978,709.9493408,1.710337996,
708.9451904,0.0001232346985,708.9451904,0.1409127712,708.9451904,0.007298073266,708.9451904,0.8567889333,708.9451904,1.706650138,
707.9407349,0.0003186695976,707.9407349,0.1425000876,707.9407349,0.008307663724,707.9407349,0.8482512832,707.9407349,1.705206394,
706.9359741,0.0008290123078,706.9359741,0.1443068236,706.9359741,0.007867717184,706.9359741,0.8484044671,706.9359741,1.694926381,
705.9308472,5.638329822E-5,705.9308472,0.1437388659,705.9308472,0.007925579324,705.9308472,0.8741887212,705.9308472,1.693406343,
705.0690918,0.0005287579261,705.0690918,0.1448079497,705.0690918,0.00765821198,705.0690918,0.8652883768,705.0690918,1.694189668,
704.0633545,-0.0003393359948,704.0633545,0.1436247826,704.0633545,0.007021226455,704.0633545,0.8424084783,704.0633545,1.690486431,
703.057251,-0.0002993974194,703.057251,0.1434226036,703.057251,0.008071891032,703.057251,0.8735567331,703.057251,1.707930326,
702.0508423,-0.0002883774578,702.0508423,0.146315828,702.0508423,0.007268116809,702.0508423,0.8605525494,702.0508423,1.702852607,
701.0441284,-0.000192755906,701.0441284,0.1317699552,701.0441284,0.007551996037,701.0441284,0.8588764071,701.0441284,1.690077901,
700.0370483,6.50045331E-5,700.0370483,0.1450119168,700.0370483,0.008125085384,700.0370483,0.8513000607,700.0370483,1.683397651,
699.0296631,0.0001892676664,699.0296631,0.1461027265,699.0296631,0.007755705155,699.0296631,0.8752655983,699.0296631,1.682726264,
698.0219727,-0.0002680441248,698.0219727,0.141624704,698.0219727,0.00766382413,698.0219727,0.8812336326,698.0219727,1.679639697,
697.013916,0.0007312467205,697.013916,0.1447073668,697.013916,0.00845436845,697.013916,0.8695699573,697.013916,1.677626848,
696.0054932,-0.0002259774774,696.0054932,0.142983228,696.0054932,0.007121918257,696.0054932,0.869779408,696.0054932,1.665125489,
694.9968262,4.563936091E-5,694.9968262,0.1431527287,694.9968262,0.007962119766,694.9968262,0.8519207835,694.9968262,1.671580195,
693.987793,-0.0004105644184,693.987793,0.1432647109,693.987793,0.007971796207,693.987793,0.8546326756,693.987793,1.662496328,
692.9783936,0.0003125819785,692.9783936,0.143018201,692.9783936,0.007843546569,692.9783936,0.8625898957,692.9783936,1.667894721,
