baseline,,bm3,,bm4,,bm5,,bm3_Prediluted,,bm3_Prediluted_10mMLauric_ul_05,,bm3_Prediluted_10mMLauric_ul_10,,bm3_Prediluted_10mMLauric_ul_20,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_120,,bm3_Prediluted_10mMLauric_ul_170,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.055603,-1.263216927E-5,781.055603,0.02318040654,781.055603,0.01690331474,781.055603,0.00429031346,781.055603,0.00485793408,781.055603,0.003869302338,781.055603,0.004931786098,781.055603,0.01664483361,781.055603,0.1421956122,781.055603,0.2520394921,781.055603,0.01805058308,781.055603,0.02459295839,781.055603,0.03493339568,781.055603,0.008640148677,781.055603,0.1730896086,781.055603,0.45190081,781.055603,0.1143465415,781.055603,0.2138057053,
779.9368896,-0.0001607738668,779.9368896,0.02285475098,779.9368896,0.0153795993,779.9368896,0.003621360054,779.9368896,0.003031369764,779.9368896,0.003570045112,779.9368896,0.004456588533,779.9368896,0.01668313704,779.9368896,0.1327386647,779.9368896,0.235206455,779.9368896,0.01721554063,779.9368896,0.0245107282,779.9368896,0.0332942307,779.9368896,0.007071030326,779.9368896,0.173583895,779.9368896,0.4613961577,779.9368896,0.1116657853,779.9368896,0.208328113,
778.9575806,-0.0004483205848,778.9575806,0.02366129868,778.9575806,0.01737633161,778.9575806,0.004848353565,778.9575806,0.002888987539,778.9575806,0.003881786717,778.9575806,0.004843144212,778.9575806,0.01513818745,778.9575806,0.1289538294,778.9575806,0.240335986,778.9575806,0.01786353998,778.9575806,0.02403059229,778.9575806,0.03289846331,778.9575806,0.008535434492,778.9575806,0.1737075597,778.9575806,0.4569828212,778.9575806,0.1097843796,778.9575806,0.2346659154,
777.9779053,0.001222293591,777.9779053,0.023829991,777.9779053,0.01707758568,777.9779053,0.004257191904,777.9779053,0.004286156967,777.9779053,0.004684780724,777.9779053,0.005265677813,777.9779053,0.01525753643,777.9779053,0.1395321041,777.9779053,0.2606152892,777.9779053,0.01773780957,777.9779053,0.02550380863,777.9779053,0.03508581594,777.9779053,0.008046864532,777.9779053,0.1721836179,777.9779053,0.4761999846,777.9779053,0.1082064882,777.9779053,0.2247560769,
776.9978638,-0.001414742903,776.9978638,0.02175926045,776.9978638,0.01641231589,776.9978638,0.002440071199,776.9978638,0.002272406593,776.9978638,0.002891046228,776.9978638,0.003318022005,776.9978638,0.01668822207,776.9978638,0.1254599839,776.9978638,0.2613593042,776.9978638,0.0152904354,776.9978638,0.02333044633,776.9978638,0.03129643202,776.9978638,0.006276747212,776.9978638,0.175532192,776.9978638,0.4481094778,776.9978638,0.1066795215,776.9978638,0.2327719778,
776.0174561,0.0005304425722,776.0174561,0.02376854792,776.0174561,0.01812072098,776.0174561,0.003886618651,776.0174561,0.002602696419,776.0174561,0.004500919953,776.0174561,0.006063729059,776.0174561,0.01625935175,776.0174561,0.1244905517,776.0174561,0.2591560483,776.0174561,0.01728295721,776.0174561,0.02282533795,776.0174561,0.03562146798,776.0174561,0.008363394998,776.0174561,0.1751951128,776.0174561,0.4761636853,776.0174561,0.1061898768,776.0174561,0.2285770476,
775.0366821,0.0007251533098,775.0366821,0.02307873406,775.0366821,0.01680597849,775.0366821,0.005184564739,775.0366821,0.002937198849,775.0366821,0.004250055179,775.0366821,0.006052284501,775.0366821,0.01743679494,775.0366821,0.124259606,775.0366821,0.2698943615,775.0366821,0.01821011864,775.0366821,0.02585797012,775.0366821,0.03450334445,775.0366821,0.008728617802,775.0366821,0.1740100384,775.0366821,0.4759677052,775.0366821,0.1044072807,775.0366821,0.2459981889,
774.055542,-0.00087044877,774.055542,0.02317775786,774.055542,0.01688326336,774.055542,0.002924142173,774.055542,0.0043532704,774.055542,0.002792763291,774.055542,0.005795590114,774.055542,0.01651905291,774.055542,0.1278024763,774.055542,0.2556197643,774.055542,0.01727398857,774.055542,0.02483858913,774.055542,0.03219113499,774.055542,0.00807407964,774.055542,0.1728008389,774.055542,0.4733087122,774.055542,0.1050588116,774.055542,0.2553227544,
772.9338379,-0.0009645781829,772.9338379,0.02408181131,772.9338379,0.01856353879,772.9338379,0.003802524647,772.9338379,0.00319718942,772.9338379,0.002966206521,772.9338379,0.004411555361,772.9338379,0.01682492159,772.9338379,0.132271111,772.9338379,0.2440967262,772.9338379,0.01599822007,772.9338379,0.02583244629,772.9338379,0.03226301074,772.9338379,0.008197992109,772.9338379,0.1708824039,772.9338379,0.4874807894,772.9338379,0.103620328,772.9338379,0.2451747507,
771.9519043,0.0004690221685,771.9519043,0.0246346537,771.9519043,0.01694753394,771.9519043,0.004597235937,771.9519043,0.002560276771,771.9519043,0.004131994676,771.9519043,0.005684845615,771.9519043,0.01779287681,771.9519043,0.1268997192,771.9519043,0.2710140646,771.9519043,0.0167119205,771.9519043,0.02703680284,771.9519043,0.03314174339,771.9519043,0.008364819922,771.9519043,0.172738418,771.9519043,0.4936078191,771.9519043,0.1055360883,771.9519043,0.225507468,
770.9696045,-0.0002916886588,770.9696045,0.02235624567,770.9696045,0.01610834897,770.9696045,0.002723572077,770.9696045,0.003124413779,770.9696045,0.002782498486,770.9696045,0.002898525214,770.9696045,0.01688630506,770.9696045,0.1270977706,770.9696045,0.2702269554,770.9696045,0.01586126909,770.9696045,0.02000362985,770.9696045,0.03398760036,770.9696045,0.007135022897,770.9696045,0.1651354581,770.9696045,0.4933967888,770.9696045,0.1026978046,770.9696045,0.2408268452,
769.9869385,-0.0003491648531,769.9869385,0.02331799082,769.9869385,0.017080063,769.9869385,0.004660263192,769.9869385,0.002817931119,769.9869385,0.0040307655,769.9869385,0.004868248012,769.9869385,0.01758249104,769.9869385,0.1271429062,769.9869385,0.262612164,769.9869385,0.01534344908,769.9869385,0.02158397064,769.9869385,0.03376172483,769.9869385,0.008473953232,769.9869385,0.1666176617,769.9869385,0.487059325,769.9869385,0.1034407467,769.9869385,0.2480190992,
769.0039673,0.0006951801479,769.0039673,0.02382093854,769.0039673,0.01784673519,769.0039673,0.002952002222,769.0039673,0.002842527349,769.0039673,0.004251676146,769.0039673,0.006306031253,769.0039673,0.01993310452,769.0039673,0.1242633313,769.0039673,0.2646595836,769.0039673,0.01584349573,769.0039673,0.02536788955,769.0039673,0.03413134068,769.0039673,0.008945167065,769.0039673,0.1660998911,769.0039673,0.4744470716,769.0039673,0.1029330492,769.0039673,0.2653567791,
768.0205688,-0.000990044442,768.0205688,0.02259066142,768.0205688,0.0156105468,768.0205688,0.002762464806,768.0205688,0.002691533184,768.0205688,0.003326890757,768.0205688,0.0046851472,768.0205688,0.0172624588,768.0205688,0.1223933026,768.0205688,0.2761873305,768.0205688,0.01533186436,768.0205688,0.023207739,768.0205688,0.03137010708,768.0205688,0.007205710281,768.0205688,0.1661166251,768.0205688,0.4675432444,768.0205688,0.101401493,768.0205688,0.2386496365,
767.0368652,0.0002979461278,767.0368652,0.0228093788,767.0368652,0.01608129777,767.0368652,0.003577118274,767.0368652,0.004044821952,767.0368652,0.004508688115,767.0368652,0.005396076944,767.0368652,0.01892938651,767.0368652,0.1205274984,767.0368652,0.2457680106,767.0368652,0.01528571639,767.0368652,0.02240843885,767.0368652,0.03446738794,767.0368652,0.009123331867,767.0368652,0.166179657,767.0368652,0.4633497894,767.0368652,0.09996243566,767.0368652,0.2535883784,
766.0527344,-3.618707706E-5,766.0527344,0.0218170993,766.0527344,0.0146674132,766.0527344,0.00381380599,766.0527344,0.003829239635,766.0527344,0.004062406719,766.0527344,0.005033775698,766.0527344,0.01782016829,766.0527344,0.1173006296,766.0527344,0.2523927093,766.0527344,0.01518619619,766.0527344,0.02518663928,766.0527344,0.03299975395,766.0527344,0.008356744424,766.0527344,0.1633983701,766.0527344,0.5016852021,766.0527344,0.09696874022,766.0527344,0.2581640184,
765.0682983,0.0001558356016,765.0682983,0.0222575441,765.0682983,0.01440683473,765.0682983,0.003615748137,765.0682983,0.003710353514,765.0682983,0.004507799167,765.0682983,0.004897384904,765.0682983,0.01950204931,765.0682983,0.1076716408,765.0682983,0.2489085048,765.0682983,0.0150486175,765.0682983,0.02513112128,765.0682983,0.03325703368,765.0682983,0.008772594854,765.0682983,0.1610761136,765.0682983,0.5530763268,765.0682983,0.09399534017,765.0682983,0.248621583,
