baseline,,sample,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
759.0394287,-0.001456384896,759.0394287,0.006680672988,
758.0527954,-0.001102119219,758.0527954,0.00844618585,
757.0657959,0.0006921985187,757.0657959,0.007721764501,
755.9373779,0.0002447949082,755.9373779,0.006024277303,
754.949646,-0.0009049618384,754.949646,0.00740069896,
753.9615479,-0.000562706904,753.9615479,0.007694255561,
752.9730835,0.0007747068885,752.9730835,0.007265695371,
751.9842529,0.0008998218109,751.9842529,0.007796632126,
750.9950562,0.001066023018,750.9950562,0.007425872143,
750.0055542,-0.0005266670487,750.0055542,0.007009624969,
749.015625,-0.001169350231,749.015625,0.007159154397,
748.0253906,0.0003199130588,748.0253906,0.009729657322,
747.03479,0.0009398225811,747.03479,0.00921388343,
746.0438843,-0.0007454452571,746.0438843,0.008123924956,
745.0525513,-0.0009823478758,745.0525513,0.009431150742,
744.0609131,-0.0001941013761,744.0609131,0.00901289843,
743.0689087,0.001066334429,743.0689087,0.01060078572,
741.9347534,-0.001046963385,741.9347534,0.009464801289,
740.9420166,0.0005380624207,740.9420166,0.009734368883,
739.9489136,0.0007081959629,739.9489136,0.01001536194,
738.9554443,-0.0004155815113,738.9554443,0.009350975044,
737.9616699,-0.000353096344,737.9616699,0.008945430629,
736.9675293,-0.0002558333217,736.9675293,0.009302389808,
735.9730225,0.0002905895235,735.9730225,0.01031933352,
734.9782104,0.0002663965279,734.9782104,0.009123120457,
733.9830322,-0.001064574812,733.9830322,0.009069512598,
732.9874878,1.726628398E-5,732.9874878,0.0109168468,
731.9915771,0.001154468278,731.9915771,0.01011743955,
730.9953613,-0.0009561063489,730.9953613,0.009242281318,
729.9987793,-0.0003770983312,729.9987793,0.009961352684,
729.0018921,3.76398275E-5,729.0018921,0.01043694094,
728.0046387,-0.0005576914991,728.0046387,0.009573338553,
727.007019,0.0001512780582,727.007019,0.0103468243,
726.0090942,-1.656670429E-5,726.0090942,0.009908091277,
725.0108032,-0.0004508547718,725.0108032,0.01090240665,
724.012146,0.0004429017135,724.012146,0.01082490478,
723.0131836,0.0003980237816,723.0131836,0.01043569483,
722.013855,0.001068280661,722.013855,0.01239270065,
721.0142212,0.000539876637,721.0142212,0.01003811788,
720.0142212,-0.001056363108,720.0142212,0.01134785824,
719.013916,-0.0011060955,719.013916,0.01089123171,
718.0131836,0.0007177635562,718.0131836,0.01175700873,
717.012207,-0.000942571729,717.012207,0.01097469218,
716.0108643,-0.001611307962,716.0108643,0.01071796473,
715.0091553,0.001063324278,715.0091553,0.01112806331,
714.0071411,0.001394357532,714.0071411,0.01203782391,
713.0047607,0.0005605079932,713.0047607,0.01124671288,
712.0020752,0.0001173569472,712.0020752,0.01096805464,
710.9990234,7.732827362E-5,710.9990234,0.01180860866,
709.9956665,7.106279372E-5,709.9956665,0.01165265776,
708.9919434,-0.0001988104923,708.9919434,0.01103111077,
707.987915,-0.0006396369427,707.987915,0.01182124391,
706.9835815,-8.34483435E-5,706.9835815,0.01169156004,
705.9788208,1.993224032E-6,705.9788208,0.01115594991,
704.9738159,-0.0006672933232,704.9738159,0.0102569107,
703.9684448,0.0001341100142,703.9684448,0.01084555313,
702.9627075,0.0001372949919,702.9627075,0.01190948579,
701.956665,-0.0002704758954,701.956665,0.01138907205,
700.9503174,0.0001153373014,700.9503174,0.01199556328,
699.9436035,-0.000122061072,699.9436035,0.01186162513,
