baseline,,bm3WTHemeDomain_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
592.9987183,-3.033729445E-005,592.9987183,0.01563093998,
592.0031738,0.0004151504254,592.0031738,0.01678563841,
591.0074463,-0.0003027085331,591.0074463,0.01764465496,
590.0114136,0.000501597242,590.0114136,0.01904131658,
589.0151978,0.0003121675109,589.0151978,0.01964491978,
587.9817505,6.02667169E-005,587.9817505,0.02120038681,
586.9849243,0.000110624831,586.9849243,0.02222046256,
585.987854,-0.0002068314061,585.987854,0.02353920788,
584.9906006,0.0008480492979,584.9906006,0.02587986737,
583.992981,0.00021464772,583.992981,0.02657054365,
582.9951782,0.0001252284856,582.9951782,0.02834745124,
581.9970093,0.0002726130188,581.9970093,0.03082697093,
580.9987793,0.0003331766347,580.9987793,0.03253073245,
580.0001221,-0.0005022596451,580.0001221,0.03420994803,
579.0013428,2.430760469E-005,579.0013428,0.03646448627,
578.0021973,6.482330355E-005,578.0021973,0.03911760077,
577.0028076,0.0002910298936,577.0028076,0.040802598,
576.0032349,-9.421470168E-005,576.0032349,0.04257546365,
575.0033569,-8.764104859E-005,575.0033569,0.04373815283,
574.0032959,0.0006535167922,574.0032959,0.0461807996,
573.0028687,4.457792602E-005,573.0028687,0.04681675136,
572.0022583,0.0002826372802,572.0022583,0.04753212631,
571.0014038,0.0005042924895,571.0014038,0.04896632954,
570.0003052,-0.0002694928553,570.0003052,0.04893599451,
568.9989014,0.0002972467337,568.9989014,0.0491181314,
567.9972534,0.0001743252069,567.9972534,0.04901028797,
566.9954224,0.0003883336612,566.9954224,0.04844106361,
565.9932861,0.000404345803,565.9932861,0.04892518744,
564.9909668,0.0004582162073,564.9909668,0.04815343022,
563.9883423,0.0005677395966,563.9883423,0.04697080329,
562.9854736,-0.0002972244984,562.9854736,0.04603287205,
561.9823608,0.0003185918904,561.9823608,0.04581284523,
561.0161743,-3.572116839E-005,561.0161743,0.04487901554,
560.0125122,-0.0005694801803,560.0125122,0.04339577258,
559.008728,-6.9161797E-005,559.008728,0.0436533913,
558.0046387,-0.0003762707056,558.0046387,0.04259062558,
557.0003662,5.332836736E-005,557.0003662,0.04152045771,
555.9957275,-0.0001543047256,555.9957275,0.04150718451,
554.9909058,-0.0001338615984,554.9909058,0.04164149612,
553.9858398,0.0004199439427,553.9858398,0.04053225368,
553.0178223,0.0002889576426,553.0178223,0.04063750058,
552.0122681,0.0004494316818,552.0122681,0.04060347751,
551.0064087,-0.0001254252857,551.0064087,0.04038237408,
550.0004272,0.0003908727667,550.0004272,0.04100695625,
548.9941406,0.0002841655514,548.9941406,0.04148359969,
547.9876709,-0.0001381055627,547.9876709,0.04125484824,
547.0182495,0.0001309768559,547.0182495,0.04214011878,
546.0112305,0.0002442510158,546.0112305,0.04276737571,
545.0040283,0.0002051170741,545.0040283,0.04351129755,
543.996582,0.0002154246758,543.996582,0.04406707734,
542.9888306,-0.0001271850197,542.9888306,0.04439149424,
542.0182495,0.0005052773049,542.0182495,0.04541740566,
541.0100708,1.716273619E-005,541.0100708,0.04536533356,
540.001709,0.0001795304124,540.001709,0.04637978598,
538.993042,0.0002046250011,538.993042,0.04670878872,
537.9841919,0.0001416452287,537.9841919,0.04717485607,
537.0124512,0.0002856679203,537.0124512,0.04743969068,
536.0031738,-0.000175626672,536.0031738,0.04727297649,
534.9935913,0.0004175601352,534.9935913,0.04743131623,
533.9837646,0.000170052328,533.9837646,0.04729571939,
533.0111084,5.413093459E-005,533.0111084,0.04694983363,
532.0008545,8.716680168E-005,532.0008545,0.04668206722,
530.9903564,-0.0001605151047,530.9903564,0.04615552351,
530.0170898,0.000221925322,530.0170898,0.04563062266,
529.0061035,-1.858572796E-005,529.0061035,0.04489916563,
527.9949341,0.0002890094474,527.9949341,0.04465543851,
526.9835205,8.442234684E-005,526.9835205,0.04397749528,
526.0093384,-5.11994258E-005,526.0093384,0.04298020899,
524.9974976,0.000270152319,524.9974976,0.04233603179,
523.9853516,7.895938325E-005,523.9853516,0.04131636769,
523.010498,0.0002280634799,523.010498,0.04019531608,
521.9979248,0.0001352493564,521.9979248,0.03920680657,
520.9852295,0.0002203713811,520.9852295,0.03821947053,
520.0097046,0.0004960253136,520.0097046,0.03794225678,
518.99646,2.492890235E-005,518.99646,0.03693357483,
517.9829712,0.0001756200218,517.9829712,0.03610559553,
517.0068359,0.000111298039,517.0068359,0.03508963063,
515.9929199,0.0003046811617,515.9929199,0.03432392702,
515.0163574,5.195624544E-005,515.0163574,0.03374670073,
514.0020142,-0.0002913264907,514.0020142,0.03257696703,
512.9873657,-2.774887071E-005,512.9873657,0.03244824335,
512.0101929,-0.0002190435916,512.0101929,0.0319189392,
510.9951782,-3.313277557E-005,510.9951782,0.03125773743,
510.0175781,0.0006150199333,510.0175781,0.03105732799,
509.0021057,0.0001241668506,509.0021057,0.03023333289,
507.9864197,0.000332088588,507.9864197,0.03003128804,
507.0081482,0.000160315496,507.0081482,0.02978217788,
505.9920044,6.925048365E-005,505.9920044,0.02895492315,
505.0133057,0.000251969439,505.0133057,0.02927408367,
503.9967346,0.000338901853,503.9967346,0.02935519814,
503.0176697,1.812055598E-005,503.0176697,0.02821599878,
502.0006104,-9.892490198E-005,502.0006104,0.02796767838,
500.9834595,0.0003746279399,500.9834595,0.0283352118,
500.0036621,0.0002414796618,500.0036621,0.02805774473,
498.986084,-8.406948473E-005,498.986084,0.02778751962,
498.0059509,0.0003908986691,498.0059509,0.02807273902,
496.987854,0.000173729597,496.987854,0.02768484503,
496.0073242,0.0001710622746,496.0073242,0.02777333558,
494.988739,0.0001469536219,494.988739,0.02786612138,
494.007782,-1.082020026E-005,494.007782,0.02782380953,
492.9888306,0.0001482224616,492.9888306,0.0279760994,
492.0074463,0.0001590466272,492.0074463,0.02793278359,
490.9881287,0.0002103226434,490.9881287,0.02772148699,
490.0063171,0.0003092921106,490.0063171,0.02796306834,
488.9866333,0.0001798152662,488.9866333,0.02783272415,
488.004303,-3.494465273E-005,488.004303,0.02792792581,
486.9841309,0.0003650419821,486.9841309,0.02809339575,
486.0015564,0.0001886202372,486.0015564,0.02820481174,
485.0187073,0.0001477304613,485.0187073,0.02851510048,
483.9979553,0.0001593573688,483.9979553,0.02846551128,
483.014679,0.0002245670476,483.014679,0.02858457156,
481.9934998,0.0002287368698,481.9934998,0.02886981703,
481.0098877,-6.569361722E-005,481.0098877,0.02909188718,
479.9882202,0.0001782614709,479.9882202,0.02930565178,
479.0042419,0.0004312153906,479.0042419,0.03001758456,
477.9821472,0.0002306534443,477.9821472,0.0303533785,
476.9977722,-0.0002026915899,476.9977722,0.03033003211,
476.0131836,0.0002433444897,476.0131836,0.03099999763,
474.990509,0.0001402987255,474.990509,0.03139417619,
474.0055237,0.000505121774,474.0055237,0.03204920515,
472.9823914,0.0004121188831,472.9823914,0.03255790845,
471.9970093,0.0003634616151,471.9970093,0.03319812566,
471.0114441,0.0002707480744,471.0114441,0.03359791264,
469.9877625,9.488243813E-005,469.9877625,0.034373153,
469.0018005,0.0002441215038,469.0018005,0.03520661965,
468.015625,0.0002665260399,468.015625,0.03617578372,
466.9913635,-0.0002354466997,466.9913635,0.03734502569,
466.0048218,0.000184994642,466.0048218,0.03872243688,
465.0180359,0.0002193613182,465.0180359,0.03965198249,
463.9931946,0.0002553365775,463.9931946,0.04127474502,
463.006073,3.318707968E-005,463.006073,0.04282428324,
462.0186768,0.0004123779945,462.0186768,0.04428071901,
460.9932556,0.000342451036,460.9932556,0.04618926346,
460.0055542,0.0003235656768,460.0055542,0.04771211371,
459.0176697,0.0001580366952,459.0176697,0.04985873401,
457.9916077,0.0003398344852,457.9916077,0.05214431509,
457.0032959,4.789168088E-005,457.0032959,0.05417143553,
456.0148926,7.160648966E-005,456.0148926,0.05706429854,
454.9882507,0.0001277919364,454.9882507,0.05968683213,
453.9994202,0.0003804314474,453.9994202,0.06212454662,
453.0104065,4.017688116E-005,453.0104065,0.06517838687,
451.9831238,-1.149321815E-005,451.9831238,0.06834225357,
450.9937439,-7.169821038E-005,450.9937439,0.07195582986,
450.0041504,0.0002989304776,450.0041504,0.0757599622,
449.0144348,0.0004712248628,449.0144348,0.07967033982,
447.9864197,0.00019486151,447.9864197,0.08359905332,
446.9963379,0.0005277989549,446.9963379,0.08780961484,
446.0059814,0.0002642466861,446.0059814,0.09235282987,
445.0155029,1.63602399E-005,445.0155029,0.09766157717,
443.9866943,0.0004316040431,443.9866943,0.1037268117,
442.9958801,0.0001687575277,442.9958801,0.1099044532,
442.0048218,0.0002630552044,442.0048218,0.1181595474,
441.0136108,0.0005567237968,441.0136108,0.1249256581,
439.9840393,-4.933585296E-005,439.9840393,0.1338133514,
438.9924622,0.0001016660972,438.9924622,0.143587485,
438.0007324,0.0002179886651,438.0007324,0.1545017362,
437.0087891,-0.0004118575016,437.0087891,0.1656290889,
436.0166626,-5.927482198E-005,436.0166626,0.1784321666,
434.9862366,0.0002944232256,434.9862366,0.195650056,
433.9937744,-0.0001002189019,433.9937744,0.2115678936,
433.0010681,0.0005008974695,433.0010681,0.2285269648,
432.0081787,0.000136828894,432.0081787,0.2486960143,
431.0152588,0.0001605226716,431.0152588,0.2677251101,
429.9838562,0.0001219141341,429.9838562,0.2906326652,
428.9904785,-0.0001507854759,428.9904785,0.31366238,
427.9969788,5.040290489E-005,427.9969788,0.3365985155,
427.0032654,-0.0001567888976,427.0032654,0.3594566882,
426.0093689,0.0001570267777,426.0093689,0.3811430633,
425.0152588,0.0001605485595,425.0152588,0.4033604264,
423.9828186,7.095923502E-005,423.9828186,0.4243900776,
422.9883728,0.000254404149,422.9883728,0.4420372248,
421.9938049,5.67975294E-005,421.9938049,0.4566376805,
420.9990234,0.0002678211313,420.9990234,0.4671191573,
420.0041199,0.0003492903779,420.0041199,0.4749212563,
419.0090027,0.00014879214,419.0090027,0.4786070585,
418.0137634,1.995853927E-005,418.0137634,0.4780542552,
417.0183105,2.228839003E-005,417.0183105,0.4740442634,
415.984436,-5.922305718E-005,415.984436,0.4660197496,
414.9886169,1.858652286E-005,414.9886169,0.455507189,
413.9926758,0.0002119283454,413.9926758,0.4412716925,
412.996521,5.327659164E-005,412.996521,0.4282239974,
412.0003052,0.0002003518312,412.0003052,0.4113805294,
411.0038147,9.247452545E-005,411.0038147,0.3948188722,
410.0072021,0.0002250332473,410.0072021,0.3756822944,
409.010376,0.0001223284198,409.010376,0.361972034,
408.0134277,-0.0001098979119,408.0134277,0.3434251845,
407.0162964,0.000170388972,407.0162964,0.3280698657,
406.0189819,0.0004481619399,406.0189819,0.3108986318,
404.9832153,-6.523215234E-006,404.9832153,0.2987250388,
403.9855652,-0.0001115541963,403.9855652,0.2845701873,
402.9877625,1.294300318E-006,402.9877625,0.2733616233,
401.9898071,0.0005848988658,401.9898071,0.2605665326,
400.9916992,-4.177794472E-005,400.9916992,0.2483636737,
399.9934082,-0.0001778002043,399.9934082,0.2386273146,
398.9949341,0.0001819129102,398.9949341,0.2278564721,
397.9963379,0.0002150102955,397.9963379,0.2204020917,
396.9975891,5.74706537E-005,396.9975891,0.2109456062,
395.9986267,-0.0001544082334,395.9986267,0.2020000666,
394.9995422,0.0003120639012,394.9995422,0.1941345483,
394.0002747,0.0001938256028,394.0002747,0.1885616779,
393.000885,-0.0001836479933,393.000885,0.1811520755,
392.0013123,0.0002039516548,392.0013123,0.173712939,
391.0015564,0.0001407389209,391.0015564,0.1686827838,
390.001709,0.0001142498077,390.001709,0.162074104,
389.0016479,4.760690354E-005,389.0016479,0.156239897,
388.0014343,0.0001078802306,388.0014343,0.1507116407,
387.0010681,2.938156831E-005,387.0010681,0.1468104571,
386.0005493,-2.479804971E-005,386.0005493,0.1421695054,
384.9998474,1.975144369E-005,384.9998474,0.1384638399,
383.9990234,0.0001759825827,383.9990234,0.1346890032,
382.9980469,1.38751011E-005,382.9980469,0.1320013553,
381.9968567,0.0003740579705,381.9968567,0.1293615252,
380.995575,0.0004120152444,380.995575,0.1268669218,
379.9941101,0.0003950700921,379.9941101,0.1252670288,
