baseline,,bm3wthemeDil2uM,,bm3wthemeDil5uM1,,bm3wthemeDil10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
685.9987793,-2.485045798E-006,685.9987793,0.003088669386,685.9987793,0.005951813888,685.9987793,0.01065232791,
684.9938965,-0.0004349252849,684.9938965,0.004435614217,684.9938965,0.007459579036,684.9938965,0.01107120607,
683.9888306,-0.0001747986535,683.9888306,0.004115060437,683.9888306,0.006465381477,683.9888306,0.0115596829,
682.9833374,8.615705156E-005,682.9833374,0.004466605373,682.9833374,0.006943362299,682.9833374,0.01191515289,
682.0134277,-0.0001081381124,682.0134277,0.004210663028,682.0134277,0.006819123868,682.0134277,0.01198670268,
681.0073242,-0.000121698773,681.0073242,0.0049732076,681.0073242,0.006437269039,681.0073242,0.01133404113,
680.0008545,-0.0002608522191,680.0008545,0.004245350137,680.0008545,0.00648563914,680.0008545,0.01216268539,
678.9942017,0.0003046811617,678.9942017,0.003870843211,678.9942017,0.007418578025,678.9942017,0.0122572016,
677.9871216,0.000674749841,677.9871216,0.004610395059,677.9871216,0.007280173246,677.9871216,0.01248894446,
677.015686,-0.0006873495295,677.015686,0.00399510283,677.015686,0.006983949803,677.015686,0.01197813358,
676.0079956,-6.155246956E-005,676.0079956,0.003972479142,676.0079956,0.006402879488,676.0079956,0.01141304243,
675.000061,-0.0009288300062,675.000061,0.004143624101,675.000061,0.006736090407,675.000061,0.01147906017,
673.9916992,0.0001125149938,673.9916992,0.00498297438,673.9916992,0.007695151493,673.9916992,0.01205954142,
672.9830322,0.0005233411794,672.9830322,0.004550984595,672.9830322,0.007487547118,672.9830322,0.01258113235,
672.0100708,-0.000876390608,672.0100708,0.004607595969,672.0100708,0.007038695272,672.0100708,0.01294352021,
671.0008545,-0.0001031692154,671.0008545,0.004082683474,671.0008545,0.007467400283,671.0008545,0.01161051448,
669.991272,-7.972805179E-006,669.991272,0.003740848741,669.991272,0.006960538216,669.991272,0.01170823444,
669.017395,0.001041060197,669.017395,0.004020497669,669.017395,0.007177523337,669.017395,0.01315012202,
668.0071411,2.117523763E-005,668.0071411,0.004947600421,668.0071411,0.006683144253,668.0071411,0.01257188618,
666.9966431,-0.0004205468576,666.9966431,0.003893644549,666.9966431,0.007522206753,666.9966431,0.01250780653,
665.9858398,-0.0001567888976,665.9858398,0.004398663528,665.9858398,0.006671446376,665.9858398,0.0125284018,
665.0108032,-0.0004028058902,665.0108032,0.003680956783,665.0108032,0.007504217792,665.0108032,0.01244429592,
663.9993286,0.000945374195,663.9993286,0.005415813532,663.9993286,0.008830340579,663.9993286,0.01330530364,
662.9875488,0.0005987148616,662.9875488,0.005045638885,662.9875488,0.00730960397,662.9875488,0.01272768807,
662.0115967,0.0003170894051,662.0115967,0.004351283424,662.0115967,0.008021049201,662.0115967,0.01362862904,
660.9992676,-0.0002027433511,660.9992676,0.00511627458,660.9992676,0.007979785092,660.9992676,0.01326438785,
659.9865723,0.000150993219,659.9865723,0.005115829408,659.9865723,0.007812814787,659.9865723,0.01365376543,
659.0097046,0.000629718299,659.0097046,0.004994810093,659.0097046,0.008257295936,659.0097046,0.01374497171,
657.9963989,-0.0004934167955,657.9963989,0.004249140155,657.9963989,0.007301258855,657.9963989,0.012419709,
656.9827881,0.000907811278,656.9827881,0.005527721718,656.9827881,0.008393136784,656.9827881,0.01499427296,
656.0050659,-0.0006785104051,656.0050659,0.004889714532,656.0050659,0.007624621969,656.0050659,0.01338578574,
654.9907837,-0.0003931851243,654.9907837,0.005730614066,654.9907837,0.008053140715,654.9907837,0.01365421899,
654.0125732,-0.0001294623216,654.0125732,0.004718667828,654.0125732,0.008632120676,654.0125732,0.01364746131,
652.9976807,-0.0004418557219,652.9976807,0.005087516271,652.9976807,0.008431009017,652.9976807,0.0140586514,
651.982605,5.990426143E-005,651.982605,0.005352047272,651.982605,0.008498370647,651.982605,0.01482517365,
651.0033569,0.000910820323,651.0033569,0.005250061862,651.0033569,0.008258667774,651.0033569,0.01501383353,
649.9876709,0.0002781561343,649.9876709,0.00512842834,649.9876709,0.007771727629,649.9876709,0.0137157701,
649.0078735,0.0001687057375,649.0078735,0.005524470471,649.0078735,0.008583800867,649.0078735,0.0137787452,
647.9914551,0.0002777416958,647.9914551,0.005109621678,647.9914551,0.008204349317,647.9914551,0.01454407722,
647.0111694,0.0002584965259,647.0111694,0.005930242594,647.0111694,0.008915017359,647.0111694,0.01434098557,
645.9942627,-0.0003454919788,645.9942627,0.004675962497,645.9942627,0.008221944794,645.9942627,0.01390525792,
645.0133057,0.0003345237346,645.0133057,0.00463828491,645.0133057,0.00856671948,645.0133057,0.01419928763,
643.9957275,-0.0005403180839,643.9957275,0.004970955662,643.9957275,0.007354833186,643.9957275,0.01348265074,
643.0142822,-5.394300752E-005,643.0142822,0.004439798649,643.0142822,0.008457456715,643.0142822,0.01423424669,
641.9960938,-0.0005061380216,641.9960938,0.00490628602,641.9960938,0.008160218596,641.9960938,0.01394861378,
641.0140381,0.0002628220827,641.0140381,0.00488277711,641.0140381,0.008468199521,641.0140381,0.01439886075,
639.9953003,-0.0002052272321,639.9953003,0.005778774619,639.9953003,0.008595814928,639.9953003,0.01502096187,
639.0126343,0.0006129720714,639.0126343,0.005095975939,639.0126343,0.009012052789,639.0126343,0.01475832425,
637.9932861,-0.0002821689122,637.9932861,0.004339621868,637.9932861,0.008296925575,637.9932861,0.01440635324,
637.0101318,-4.276151594E-005,637.0101318,0.00474010082,637.0101318,0.008521125652,637.0101318,0.01516032871,
