baseline,,samle,,sampledil2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
578.0721436,-0.0004738170537,578.0721436,0.1450827718,578.0721436,0.07233029604,
575.9862061,-0.0007776426501,575.9862061,0.1574882716,575.9862061,0.0780024901,
574.0482178,0.0002311973367,574.0482178,0.1690879464,574.0482178,0.08407168835,
571.960144,-5.420183516E-5,571.960144,0.1759333163,571.960144,0.08753678203,
570.0202637,-0.0004767648352,570.0202637,0.1785735935,570.0202637,0.08924970776,
567.9301147,-0.0002043992718,567.9301147,0.1779277325,567.9301147,0.08888130635,
565.9882813,0.0002509593032,565.9882813,0.175016433,565.9882813,0.08781015128,
564.0455933,0.0003831518698,564.0455933,0.1698176712,564.0455933,0.08411994576,
561.9523926,0.0005630222149,561.9523926,0.1647455543,561.9523926,0.08181555569,
560.0077515,0.001166277798,560.0077515,0.159017235,560.0077515,0.07947195321,
558.0621948,0.0003017539857,558.0621948,0.1541425884,558.0621948,0.07708249241,
555.9659424,-1.449611773E-6,555.9659424,0.1501464844,555.9659424,0.07540715486,
554.0185547,0.0004622068664,554.0185547,0.1480384618,554.0185547,0.07392984629,
552.0701904,-0.0003342145355,552.0701904,0.1474992037,552.0701904,0.07368050516,
549.9710083,0.0002034854842,549.9710083,0.1496177912,549.9710083,0.07453092933,
548.020813,-5.63242138E-5,548.020813,0.1530110836,548.020813,0.07606070489,
546.0697021,0.000187843325,546.0697021,0.1572434753,546.0697021,0.0784053728,
543.9675903,0.0002068263566,543.9675903,0.1626974344,543.9675903,0.0813152194,
542.0146484,0.0003456375271,542.0146484,0.1675793678,542.0146484,0.0829777196,
540.0608521,-0.0003538205638,540.0608521,0.169748947,540.0608521,0.08422313631,
537.9557495,-0.0006883316091,537.9557495,0.172267437,537.9557495,0.08528930694,
536.0001221,7.549004658E-5,536.0001221,0.1734027565,536.0001221,0.08704167604,
534.0436401,-0.00028982613,534.0436401,0.1730321497,534.0436401,0.08681348711,
531.9356689,-0.0003813916701,531.9356689,0.1688498259,531.9356689,0.08391976357,
529.977356,-0.0007540762308,529.977356,0.1645760387,529.977356,0.08152007312,
528.0181885,0.0001060418726,528.0181885,0.161268428,528.0181885,0.08053136617,
