baseline,,bm3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
736.9675293,0.000626607507,736.9675293,0.01029362157,
735.9730225,0.0006921726163,735.9730225,0.01004450209,
734.9782104,-0.0003100549802,734.9782104,0.01013142988,
733.9830322,-3.416813342E-5,733.9830322,0.01108740456,
732.9874878,-0.000819345878,732.9874878,0.009974781424,
731.9915771,-7.102528616E-5,731.9915771,0.01016961318,
730.9953613,0.0008585018804,730.9953613,0.01096465718,
729.9987793,0.0005141407019,729.9987793,0.009658743627,
729.0018921,-0.0001438503823,729.0018921,0.01031400543,
728.0046387,-0.0008628534852,728.0046387,0.009596521035,
727.007019,0.0007453007856,727.007019,0.01110214274,
726.0090942,0.0005246111541,726.0090942,0.01191680226,
725.0108032,-0.0007089553983,725.0108032,0.01132444944,
724.012146,0.0005090869963,724.012146,0.01113101095,
723.0131836,0.0008372857701,723.0131836,0.01214040443,
722.013855,-0.000653129362,722.013855,0.01010713261,
721.0142212,-0.0009477893473,721.0142212,0.01159956027,
720.0142212,0.0001711658697,720.0142212,0.01138285361,
719.013916,3.052063039E-5,719.013916,0.01132051647,
718.0131836,0.0001531942835,718.0131836,0.01207708009,
717.012207,0.0005989481579,717.012207,0.01192393247,
716.0108643,0.00122613553,716.0108643,0.01202015299,
715.0091553,-0.0005483326968,715.0091553,0.01173581183,
714.0071411,-0.0003677873756,714.0071411,0.01205312647,
713.0047607,-0.0005481258268,713.0047607,0.01144993026,
712.0020752,-0.0001240278507,712.0020752,0.01082811598,
710.9990234,-0.0009065634222,710.9990234,0.01071077399,
709.9956665,-4.876642561E-5,709.9956665,0.01174541283,
708.9919434,-0.0005326136015,708.9919434,0.01284376346,
707.987915,-0.0003267133143,707.987915,0.01165348198,
706.9835815,0.001485285233,706.9835815,0.01188107207,
705.9788208,-0.0003225229157,705.9788208,0.01269551553,
704.9738159,7.481109151E-6,704.9738159,0.01197286509,
703.9684448,0.001169055118,703.9684448,0.01287200022,
702.9627075,-0.0001343274052,702.9627075,0.01156688668,
701.956665,-1.418527881E-5,701.956665,0.0125481179,
700.9503174,-0.001505194465,700.9503174,0.01049069129,
699.9436035,-0.0003765293513,699.9436035,0.01117942855,
698.9365845,-0.0002907573944,698.9365845,0.01202826947,
697.9292603,0.0001847097737,697.9292603,0.01164385676,
697.0655518,0.0002884395653,697.0655518,0.01185750123,
696.0575562,8.695966972E-5,696.0575562,0.01248430833,
695.0492554,0.0005910421605,695.0492554,0.01249691006,
694.0406494,0.000388074579,694.0406494,0.01184824388,
693.0316772,0.0006214746973,693.0316772,0.01300136931,
692.0223999,0.0005797406193,692.0223999,0.0136488229,
691.0128174,-0.0003796329547,691.0128174,0.01316426322,
690.0028687,0.0002972467337,690.0028687,0.01240812242,
688.9926147,6.042205132E-5,688.9926147,0.01234997902,
