baseline,,bm3heme5in1000,,bm3heme5in100_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.949646,8.437056385E-5,754.949646,0.007339431439,754.949646,0.01393735968,
753.9615479,0.0003126597148,753.9615479,0.007865345106,753.9615479,0.01398323104,
752.9730835,-0.0001504231914,752.9730835,0.006345718633,752.9730835,0.01416949276,
751.9842529,0.0005882685655,751.9842529,0.008404827677,751.9842529,0.01474563032,
750.9950562,0.0003184623783,750.9950562,0.008945007809,750.9950562,0.01368699688,
750.0055542,-0.001387650147,750.0055542,0.006537378766,750.0055542,0.01364270598,
749.015625,-0.001166097354,749.015625,0.007706428878,749.015625,0.01306082681,
748.0253906,0.0004614553764,748.0253906,0.007647752762,748.0253906,0.0147064263,
747.03479,-0.001957737142,747.03479,0.006970534101,747.03479,0.01406129822,
746.0438843,-0.001083579846,746.0438843,0.006929632276,746.0438843,0.0132930791,
745.0525513,0.0001910545834,745.0525513,0.007996422239,745.0525513,0.01325064339,
744.0609131,0.0009824474109,744.0609131,0.009252409451,744.0609131,0.01573915035,
743.0689087,0.001901026582,743.0689087,0.007802957669,743.0689087,0.01479879115,
741.9347534,0.0003898623108,741.9347534,0.008620634675,741.9347534,0.01485573687,
740.9420166,0.0004081027873,740.9420166,0.008703263476,740.9420166,0.0145036336,
739.9489136,0.00109454256,739.9489136,0.008623591624,739.9489136,0.0168942716,
738.9554443,-0.0007764023612,738.9554443,0.008895517327,738.9554443,0.01459930185,
737.9616699,-0.001139195636,737.9616699,0.008851475082,737.9616699,0.01484593283,
736.9675293,-0.0002305827511,736.9675293,0.007056532893,736.9675293,0.0136940768,
735.9730225,-0.001041075564,735.9730225,0.00700752018,735.9730225,0.0134039931,
734.9782104,0.0002615011181,734.9782104,0.007804723457,734.9782104,0.01454868168,
733.9830322,0.0004336251877,733.9830322,0.009530709125,733.9830322,0.01577211358,
732.9874878,-8.542285286E-6,732.9874878,0.007758445572,732.9874878,0.01586446352,
731.9915771,-4.840406473E-5,731.9915771,0.008401159197,731.9915771,0.01467274129,
730.9953613,-0.0003421294678,730.9953613,0.008053906262,730.9953613,0.01559686195,
729.9987793,0.0005342006334,729.9987793,0.008287506178,729.9987793,0.01462326292,
729.0018921,0.0006412026123,729.0018921,0.009205474518,729.0018921,0.01610861719,
728.0046387,0.0009538833983,728.0046387,0.008297215216,728.0046387,0.01571545005,
727.007019,-0.000328161841,727.007019,0.008146291599,727.007019,0.01538107451,
726.0090942,-0.0004547853605,726.0090942,0.007771754172,726.0090942,0.01590688713,
725.0108032,-0.0008499359828,725.0108032,0.009301702492,725.0108032,0.01604911685,
724.012146,-0.0001681744616,724.012146,0.008797531016,724.012146,0.01557483245,
723.0131836,0.001237869263,723.0131836,0.009393746033,723.0131836,0.01524447929,
722.013855,0.0002615529229,722.013855,0.008672285825,722.013855,0.01566196233,
721.0142212,0.002003918868,721.0142212,0.008749800734,721.0142212,0.01589934155,
720.0142212,-0.0001967923163,720.0142212,0.009075671434,720.0142212,0.01570245996,
719.013916,-0.0004172366462,719.013916,0.008643422276,719.013916,0.01573308557,
718.0131836,1.141586199E-5,718.0131836,0.008992813528,718.0131836,0.01625244506,
