,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
199,50.0,10.0,6.0,1.0,500.0
200,50.0,10.0,6.0,1.0,1000.0
201,50.0,10.0,6.0,1.0,1502.5
202,50.0,10.0,6.0,1.0,2000.0
203,50.0,10.0,6.0,1.0,2500.0
204,50.0,10.0,12.0,4.0,0.0
205,50.0,10.0,12.0,4.0,2.5
206,50.0,10.0,12.0,4.0,5.0
207,50.0,10.0,12.0,4.0,15.0
208,50.0,10.0,12.0,4.0,45.0
209,50.0,10.0,12.0,4.0,107.5
210,50.0,10.0,12.0,4.0,222.5
211,50.0,10.0,12.0,4.0,410.0
212,50.0,10.0,12.0,4.0,700.0
213,50.0,10.0,12.0,4.0,1122.5
214,50.0,10.0,12.0,4.0,1710.0
215,50.0,10.0,12.0,4.0,2500.0
216,50.0,10.0,12.0,1.0,0.0
217,50.0,10.0,12.0,1.0,227.5
218,50.0,10.0,12.0,1.0,455.0
219,50.0,10.0,12.0,1.0,682.5
220,50.0,10.0,12.0,1.0,910.0
221,50.0,10.0,12.0,1.0,1137.5
222,50.0,10.0,12.0,1.0,1365.0
223,50.0,10.0,12.0,1.0,1592.5
224,50.0,10.0,12.0,1.0,1820.0
225,50.0,10.0,12.0,1.0,2047.5
226,50.0,10.0,12.0,1.0,2275.0
227,50.0,10.0,12.0,1.0,2500.0
228,50.0,10.0,6.0,4.0,0.0
229,50.0,10.0,6.0,4.0,5.0
230,50.0,10.0,6.0,4.0,65.0
231,50.0,10.0,6.0,4.0,325.0
232,50.0,10.0,6.0,4.0,1025.0
233,50.0,10.0,6.0,4.0,2500.0
234,50.0,10.0,6.0,1.0,0.0
235,50.0,10.0,6.0,1.0,500.0
236,50.0,10.0,6.0,1.0,1000.0
237,50.0,10.0,6.0,1.0,1502.5
238,50.0,10.0,6.0,1.0,2000.0
239,50.0,10.0,6.0,1.0,2500.0
240,50.0,10.0,12.0,4.0,0.0
241,50.0,10.0,12.0,4.0,2.5
242,50.0,10.0,12.0,4.0,5.0
243,50.0,10.0,12.0,4.0,15.0
244,50.0,10.0,12.0,4.0,45.0
245,50.0,10.0,12.0,4.0,107.5
246,50.0,10.0,12.0,4.0,222.5
247,50.0,10.0,12.0,4.0,410.0
248,50.0,10.0,12.0,4.0,700.0
249,50.0,10.0,12.0,4.0,1122.5
250,50.0,10.0,12.0,4.0,1710.0
251,50.0,10.0,12.0,4.0,2500.0
252,50.0,10.0,12.0,1.0,0.0
253,50.0,10.0,12.0,1.0,227.5
254,50.0,10.0,12.0,1.0,455.0
255,50.0,10.0,12.0,1.0,682.5
256,50.0,10.0,12.0,1.0,910.0
257,50.0,10.0,12.0,1.0,1137.5
258,50.0,10.0,12.0,1.0,1365.0
