baselione2,,bm3WT_heme_Working_stock,,bm3WT_heme_Working_stock1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
708.9919434,0.0006280592061,708.9919434,0.005058864132,708.9919434,0.01345130336,
707.987915,-0.0001382090704,707.987915,0.005595263094,707.987915,0.01308246236,
706.9835815,-0.000162792232,706.9835815,0.004823041614,706.9835815,0.01322892029,
705.9788208,-0.0003292999463,705.9788208,0.005384623539,705.9788208,0.01247162744,
704.9738159,0.0005887610605,704.9738159,0.006566627882,704.9738159,0.0142801227,
703.9684448,-0.0003390773199,703.9684448,0.005568806548,703.9684448,0.01370179746,
702.9627075,-0.000925265369,702.9627075,0.005469417665,702.9627075,0.01265223231,
701.956665,0.001116991043,701.956665,0.005967534147,701.956665,0.01382997166,
700.9503174,3.321296754E-5,700.9503174,0.006406215951,700.9503174,0.01353835501,
699.9436035,0.00021464772,699.9436035,0.005740738939,699.9436035,0.01405458711,
698.9365845,0.000319990766,698.9365845,0.006187725347,698.9365845,0.01460404042,
697.9292603,-0.0003427502525,697.9292603,0.005900485441,697.9292603,0.0143779628,
697.0655518,-0.0004460966738,697.0655518,0.005644117016,697.0655518,0.01442382764,
696.0575562,4.299872307E-5,696.0575562,0.006210464984,696.0575562,0.01428119279,
695.0492554,0.0005145035102,695.0492554,0.00737692276,695.0492554,0.01457403135,
694.0406494,-7.371698302E-5,694.0406494,0.006765825674,694.0406494,0.01378288679,
693.0316772,0.0006993285497,693.0316772,0.007107629906,693.0316772,0.01436295267,
692.0223999,0.0001385379146,692.0223999,0.006612962577,692.0223999,0.01424192358,
691.0128174,-0.0004463035439,691.0128174,0.006241976749,691.0128174,0.0138957426,
690.0028687,-0.0002492621134,690.0028687,0.006553277373,690.0028687,0.0145290345,
688.9926147,0.001263362588,688.9926147,0.007601544727,688.9926147,0.01468117535,
687.9819946,0.0002186879428,687.9819946,0.00658284314,687.9819946,0.01584435441,
686.9711304,0.0009251915035,686.9711304,0.006171472371,686.9711304,0.01584438235,
685.9598389,0.0007595368079,685.9598389,0.007087843027,685.9598389,0.01472803578,
684.9483032,-0.0005195311387,684.9483032,0.007832897827,684.9483032,0.01525836717,
683.9364624,-0.0002566094336,683.9364624,0.008597689681,683.9364624,0.01512025576,
683.0688477,0.0007323616883,683.0688477,0.00838616956,683.0688477,0.01634887606,
682.0563965,0.0003678918292,682.0563965,0.007021700032,682.0563965,0.0152919367,
681.0435791,-0.0004222536518,681.0435791,0.007688590791,681.0435791,0.01637909003,
680.0304565,-0.0001974650368,680.0304565,0.008144286461,680.0304565,0.01684841327,
679.0170288,0.00137449149,679.0170288,0.008666951209,679.0170288,0.01724753715,
678.0032349,0.000464953715,678.0032349,0.008670199662,678.0032349,0.01807948388,
676.9891357,0.001410095138,676.9891357,0.009076728486,676.9891357,0.01766840741,
675.9747314,-0.00073541858,675.9747314,0.008121762425,675.9747314,0.01603251882,
674.960022,0.001145877293,674.960022,0.008792538196,674.960022,0.01695636287,
673.9450073,0.0009836668614,673.9450073,0.009445144795,673.9450073,0.01707874425,
672.9296265,0.001168899355,672.9296265,0.009365284815,672.9296265,0.01769375056,
672.059082,0.0002622781612,672.059082,0.009821393527,672.059082,0.01799793914,
671.0431519,-0.0002515905071,671.0431519,0.01007793564,671.0431519,0.01819014177,
670.0268555,0.0006699794321,670.0268555,0.0108377235,670.0268555,0.01887358166,
669.0103149,-0.000110519024,669.0103149,0.01092122681,669.0103149,0.01971130632,
667.9934082,0.0002320779313,667.9934082,0.01218914799,667.9934082,0.01950451173,
666.9761963,-5.756657629E-5,666.9761963,0.01036360487,666.9761963,0.01917407848,
665.9586792,0.0006222783122,665.9586792,0.01157927513,665.9586792,0.02003602311,
664.9407959,-0.0008708621608,664.9407959,0.01090572495,664.9407959,0.01904439926,
664.0681152,-0.0002975349198,664.0681152,0.01234135032,664.0681152,0.02082542516,
663.0497437,0.0003103023919,663.0497437,0.01302028075,663.0497437,0.02140102908,
662.0310059,0.00089567143,662.0310059,0.01360445656,662.0310059,0.02194660157,
661.0119629,9.423514712E-5,661.0119629,0.0139211081,661.0119629,0.02183748782,
659.9925537,0.0005844322732,659.9925537,0.01505831815,659.9925537,0.02307212725,
658.9729004,0.0001232605864,658.9729004,0.01497471239,658.9729004,0.02298456244,
657.9529419,0.001316716429,657.9529419,0.01602894627,657.9529419,0.02455603331,
656.9326172,0.001131524681,656.9326172,0.0152633274,656.9326172,0.02319296636,
656.0578613,-0.0001426600211,656.0578613,0.01611095481,656.0578613,0.02406408079,
655.0369873,0.0003846804902,655.0369873,0.01694731973,655.0369873,0.02492271736,
654.0158081,-0.0006376208039,654.0158081,0.01569617912,654.0158081,0.0241815839,
652.9943237,3.033941539E-5,652.9943237,0.01633998007,652.9943237,0.02500719018,
651.9725342,-0.0003158492618,651.9725342,0.01664644852,651.9725342,0.02494316921,
650.9504395,-0.0002527805627,650.9504395,0.01724231243,650.9504395,0.0252551958,
649.9280396,0.000205868113,649.9280396,0.01709422469,649.9280396,0.02516806684,
649.0514526,3.484390982E-5,649.0514526,0.0172080528,649.0514526,0.0253842175,
648.0284424,-0.0002518492111,648.0284424,0.01582405902,648.0284424,0.02503864281,
647.005188,0.0004050971766,647.005188,0.017671993,647.005188,0.02618555538,
645.9815674,-0.0007920609787,645.9815674,0.01567304507,645.9815674,0.02457496151,
644.9577026,-0.0002278402826,644.9577026,0.01604194567,644.9577026,0.02462695539,
