baseline,,bm3WT_2in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
694.0406494,0.0001536862983,694.0406494,0.005109019578,
693.0316772,3.709617522E-5,693.0316772,0.005354956258,
692.0223999,0.001141023822,692.0223999,0.00534410635,
691.0128174,-0.0003701668757,691.0128174,0.004558073822,
690.0028687,-0.0003566139494,690.0028687,0.004572200123,
688.9926147,-0.0007028045366,688.9926147,0.005173771642,
687.9819946,0.0001229498594,687.9819946,0.005059964024,
686.9711304,0.001304487349,686.9711304,0.005080261268,
685.9598389,-8.111904754E-5,685.9598389,0.004524748307,
684.9483032,9.177545144E-5,684.9483032,0.005147942808,
683.9364624,0.000679105462,683.9364624,0.00498753041,
683.0688477,0.0004645131703,683.0688477,0.005447529722,
682.0563965,-0.0002904469729,682.0563965,0.005807159469,
681.0435791,-0.0001385196083,681.0435791,0.004895186052,
680.0304565,-0.0001825612417,680.0304565,0.005525414366,
679.0170288,-0.0001700892753,679.0170288,0.004744209349,
678.0032349,-0.0009192209109,678.0032349,0.005489655305,
676.9891357,-0.0009800749831,676.9891357,0.004570237827,
675.9747314,0.0005429609446,675.9747314,0.005401502363,
674.960022,0.0001911581639,674.960022,0.005599065218,
673.9450073,-2.293436228E-5,673.9450073,0.005931266118,
672.9296265,-0.001323962701,672.9296265,0.003913260531,
672.059082,-0.0003367493919,672.059082,0.005504204892,
671.0431519,0.001323675038,671.0431519,0.006617614534,
670.0268555,-0.0001757301652,670.0268555,0.006081185769,
669.0103149,-0.0005490565673,669.0103149,0.005968925077,
667.9934082,0.001195660559,667.9934082,0.006365366746,
666.9761963,0.000824447663,666.9761963,0.00599091826,
665.9586792,-0.0009497007122,665.9586792,0.005747139454,
664.9407959,0.0003329952888,664.9407959,0.006188434549,
664.0681152,2.588596892E-8,664.0681152,0.007530582137,
663.0497437,0.0002925581939,663.0497437,0.007711830549,
662.0310059,0.0002712401911,662.0310059,0.00666810805,
661.0119629,0.0004738162679,661.0119629,0.00811901968,
659.9925537,-0.0001671911741,659.9925537,0.006104103755,
658.9729004,0.0001365699572,658.9729004,0.007617693394,
657.9529419,-0.00027414941,657.9529419,0.00704429904,
656.9326172,0.0003500675666,656.9326172,0.007546464913,
656.0578613,-0.0002066761517,656.0578613,0.007271381095,
655.0369873,-0.000418012467,655.0369873,0.006871087011,
654.0158081,-0.0002904469729,654.0158081,0.007767458446,
652.9943237,0.0003549639951,652.9943237,0.007989961654,
651.9725342,0.0001259017154,651.9725342,0.006665926427,
650.9504395,0.001524690539,650.9504395,0.008622509427,
649.9280396,0.001004059799,649.9280396,0.007998874411,
